CD_TRATTAMENTO,CD_CONTRIBUTO_RITENUTA,DT_INIZIO_VALIDITA,ID_RIGA,SEGNO,CALCOLO_IMPONIBILE,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
"T083C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T083C","IRPEFSCA4","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T084","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T084","IRPEFSCA4","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T084C","IRPEFSCA4","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T085","RIVALSA4","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T086","RAIRPEFPC","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T089","RIVALSA2","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T090","RIVALSA4","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T090","RIVALSA2","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T091","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T016","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T016","RAIRPEF","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T028","INPSA","2002-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T019C","RAIRPEF","2002-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T019C","RIVALSA2","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T056","IRAP","2010-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI7K0R","2002-01-01","013","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI7R0R","2002-01-01","014","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI7S0R","2002-01-01","015","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5H0R","2002-01-01","016","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4J58","2002-01-01","017","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4L60","2002-01-01","018","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4Q65","2002-01-01","019","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4R66","2002-01-01","020","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5A0R","2002-01-01","021","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5B0R","2002-01-01","022","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5C0R","2002-01-01","023","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5G0R","2002-01-01","024","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5I0R","2002-01-01","025","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4A49","2002-01-01","026","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4D53","2002-01-01","027","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4F54","2002-01-01","028","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI3Q37","2002-01-01","029","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI3S39","2002-01-01","030","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI3U41","2002-01-01","031","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI3W43","2002-01-01","032","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI3H28","2002-01-01","033","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI3M33","2002-01-01","034","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI8U00","2002-01-01","035","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5R0R","2002-01-01","036","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5S0R","2002-01-01","037","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI7H0R","2002-01-01","038","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5L0R","2002-01-01","039","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5D0R","2002-01-01","040","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI4C52","2002-01-01","041","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI8D00","2002-01-01","042","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5N0R","2002-01-01","043","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI7F0R","2002-01-01","044","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","ENPDEPCA","2002-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","FONDOCRCPS","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","IRPEFSCA","2002-01-01","009","-","-005P-006P-007P-008P","2050-12-31","SYSTEM","SYSTEM","1"
"T092","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092","CPDELCAAP","2007-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092","CPDELCPAP","2007-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092","IRPEFSCA","2002-01-01","008","-","-004P-005P-006P-007P","2050-12-31","SYSTEM","SYSTEM","1"
"T092C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092C","ENPDEPCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092C","CPDELCP","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092C","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092C","FONDOCRCPD","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T092C","IRPEFSCA","2002-01-01","007","-","-004P-005P-006P","2050-12-31","SYSTEM","SYSTEM","1"
"T093","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093","DS","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093","CPDELCAAP","2007-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093","ENPDEPCA","2002-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093","CPDELCPAP","2007-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093","FONDOCRCPD","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093","IRPEFSCA","2002-01-01","009","-","-005P-006P-007P-008P","2050-12-31","SYSTEM","SYSTEM","1"
"T093C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093C","DS","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093C","CPDELCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093C","ENPDEPCA","2002-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093C","CPDELCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093C","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T093C","IRPEFSCA","2002-01-01","008","-","-005P-006P-007P","2050-12-31","SYSTEM","SYSTEM","1"
"T094","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094","CPSCAAP","2007-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094","CPSCPAP","2007-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094","IRPEFSCA","2002-01-01","008","-","-004P-005P-006P-007P","2050-12-31","SYSTEM","SYSTEM","1"
"T094C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094C","ENPDEPCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094C","CPSCP","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094C","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T094C","IRPEFSCA","2002-01-01","007","-","-004P-005P-006P","2050-12-31","SYSTEM","SYSTEM","1"
"T095","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","DS","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","CPSCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","CPSCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","CPSCPADD","2002-01-01","008","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012","IRPEFSCA","2002-01-01","009","-","-005P-006P-007P-008P","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T012C","CPSCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5K0R","2002-01-01","009","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5M0R","2002-01-01","010","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI5O0R","2002-01-01","011","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T100","STI7G0R","2002-01-01","012","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T028C","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T028C","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T029","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T029","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T029","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T029C","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T029C","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T029C","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030C","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030C","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T030C","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040","ADDREGRAT","2004-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040","ADDPROVRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040","ADDCOMRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040C","ADDREGRAT","2004-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040C","ADDPROVRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T040C","ADDCOMRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041","ADDREGRAT","2004-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041","ADDPROVRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041","ADDCOMRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041C","ADDREGRAT","2004-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041C","ADDCOMRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T041C","ADDPROVRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042","ADDREGRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042","ADDPROVRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042","ADDCOMRAT","2004-01-01","008","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","ADDREGRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","ADDPROVRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T042C","ADDCOMRAT","2004-01-01","008","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T098","ADDREGRAT","2004-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T098","ADDPROVRAT","2004-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T098","ADDCOMRAT","2004-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T104","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T104","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T104","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T104C","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T104C","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T104C","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T105","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T105","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T105","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T105C","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T105C","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T105C","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T108","ADDREGRAT","2004-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T108","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T108","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T122","INAIL","2003-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T122","IRPEFSCA5","2003-01-01","002","-","-001P","2200-12-31","SYSTEM","SYSTEM","1"
"T89SC","RIVALSA2","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T89SC","IVA","2004-01-01","002","+","+001E","2200-12-31","SYSTEM","SYSTEM","1"
"T121","RIVALSA4CP","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T121","IVA","2004-01-01","002","+","+001E","2200-12-31","SYSTEM","SYSTEM","1"
"T121","RAIRPEF","2004-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123S","IRAP","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123S","RAIRPEF","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123S","INPS17F","2004-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T124S","RAIRPEF","2004-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T124S","INPS17F","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T124S","IRAPCOM","2004-01-01","003","+","+002E","2200-12-31","SYSTEM","SYSTEM","1"
"T125","RITFIT","2004-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T126","IRAP","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T126","RAIRPEF","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T126","INPS10D","2004-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T126C","RAIRPEF","2004-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T126C","INPS10D","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T126C","IRAPCOM","2004-01-01","003","+","+002E","2200-12-31","SYSTEM","SYSTEM","1"
"T127","RAIRPEF","2004-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T105S","INAIL","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T105S","INPSC","2004-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T105S","IRPEFSCA5","2004-01-01","004","-","-002P-003P","2200-12-31","SYSTEM","SYSTEM","1"
"T131","RIVALSAINP","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T131","ADDCOMRAT","2004-01-01","005","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T131","ADDREGRAT","2004-01-01","006","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T132","IRPEFSTRA","2005-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T133","IRAP","2005-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T133","IRPEFSTRA","2005-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T133","INPS15E","2005-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T134","IRPEFSTRA","2005-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T132C","IRPEFSTRA","2005-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T136S","IRAP","2005-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T136S","IRPEFSCA5","2005-01-01","004","-","-002P-003P","2200-12-31","SYSTEM","SYSTEM","1"
"T056","RAIRPEFAUT","2010-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T056C","IRAPCOM","2010-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T137","IRAP","2005-01-01","004","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T138","INPSC","2005-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T138","IRAP","2005-01-01","004","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T139","INAIL","2005-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T139","IRPEFSCA9","2005-01-01","003","-","-001P-002P","2200-12-31","SYSTEM","SYSTEM","1"
"T139C","INPSA","2005-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T048CSC","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T048CSC","RAIRPEF","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T140","RAIRPEF","2005-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T143S","IRAP","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T144","IRAP","2005-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T135","STDE105","2005-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T145","ENPDEPCA","2006-01-01","003","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T146","RAIRPEF","2006-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T146","RIVALSAINP","2006-01-01","003","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T120","ADDPROV","2006-01-01","004","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T043SC","INPSB","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T148","INAIL","2006-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123","IRAP","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123","RAIRPEF","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123","INPS17F","2004-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123C","RAIRPEF","2004-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123C","INPS17F","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T123C","IRAPCOM","2004-01-01","003","+","+002E","2200-12-31","SYSTEM","SYSTEM","1"
"T127","IRAP","2004-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T127","INPS10D","2004-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T105S","ADDREGRAT","2004-01-01","005","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T132","INPS10D","2005-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T137","IRPEFSCA9","2005-01-01","003","-","-001P-002P","2200-12-31","SYSTEM","SYSTEM","1"
"T141C","IRES4","2005-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T148","INPSB","2006-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T148","IRPEFSCA5","2006-01-01","003","-","-090%-001P-002P","2200-12-31","SYSTEM","SYSTEM","1"
"T148","ADDCOMRAT","2006-01-01","004","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T148","ADDREGRAT","2006-01-01","005","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"CONGC","IRPEFSCA2","2006-01-01","001","-","-090%","2200-12-31","SYSTEM","SYSTEM","1"
"CONGC","ADDREG","2006-01-01","002","-","-090%","2200-12-31","SYSTEM","SYSTEM","1"
"CONGC","ADDPROV","2006-01-01","003","-","-090%","2200-12-31","SYSTEM","SYSTEM","1"
"CONGC","ADDREGRAT","2006-01-01","005","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T135","STI1206","2006-01-01","010","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T135","STI1308","2006-01-01","011","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T083","ADDCOMRAT","2005-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T084","ADDREGRAT","2005-01-01","004","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T084C","ADDREGRAT","2005-01-01","004","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T083C","ADDCOMRAT","2005-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T149","INPSADD","2006-01-01","005","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T149","DS","2006-01-01","006","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T135","STI8Q0R","2007-01-01","012","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T135","STI0913","2007-01-01","013","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"CONGB","IRPEFSCA2","2007-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002","ADDCOMACC","2007-01-01","006","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T095","CPSCAAP","2007-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T027","ADDCOMACC","2007-01-01","008","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T027C","ADDCOMACC","2007-01-01","008","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T040","ADDCOMACC","2007-01-01","007","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T042","ADDCOMACC","2007-01-01","009","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T083","ADDCOMACC","2007-01-01","006","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T105S","ADDPROVRAT","2004-01-01","006","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T132","IRAP","2005-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T134","IRAP","2005-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T134","INPS17F","2005-01-01","003","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T132C","IRAPCOM","2005-01-01","003","+","+002E","2200-12-31","SYSTEM","SYSTEM","1"
"T137","INPSB","2005-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T138","INAIL","2005-01-01","002","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T139","INPSA","2005-01-01","001","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T137C","IRAPCOM","2005-01-01","004","+","+001E+002E","2200-12-31","SYSTEM","SYSTEM","1"
"T138C","IRPEFSCA9","2005-01-01","003","-","-001P-002P","2200-12-31","SYSTEM","SYSTEM","1"
"T139C","IRPEFSCA9","2005-01-01","003","-","-001P-002P","2200-12-31","SYSTEM","SYSTEM","1"
"T148","ADDPROVRAT","2006-01-01","006","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"CONGC","ADDCOM","2006-01-01","004","-","-090%","2200-12-31","SYSTEM","SYSTEM","1"
"T149","ENPDEPCA","2006-01-01","002","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T029","ADDCOMACC","2007-01-01","008","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T029C","ADDCOMACC","2007-01-01","008","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T083C","ADDCOMACC","2007-01-01","006","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T104C","ADDCOMACC","2007-01-01","008","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T109","ACCCOM730","2007-01-01","012","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T098","ADDCOMACC","2007-01-01","005","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T104","ADDCOMACC","2007-01-01","008","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T151C","IRAPCOM","2007-01-01","001","+","000","2200-12-31","SYSTEM","SYSTEM","1"
"T009SC","RIDUZ","2007-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T009SC","IRAP","2007-01-01","002","+","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T009SC","IRPEFSCA3","2007-01-01","003","-","-001P","2050-12-31","SYSTEM","SYSTEM","1"
"T009SC","ADDPROV","2007-01-01","006","-","000","2200-12-31","SYSTEM","SYSTEM","1"
"T009","ADDCOM","2008-07-21","007","-","-001P","2200-12-31","SYSTEM","SYSTEM","1"
"T009","ADDREG","2008-07-21","008","-","-001P","2200-12-31","SYSTEM","SYSTEM","1"
"T009SC","ADDCOM","2008-07-21","004","-","-001P","2200-12-31","SYSTEM","SYSTEM","1"
"T009SC","ADDREG","2008-07-21","005","-","-001P","2200-12-31","SYSTEM","SYSTEM","1"
"T158SC","CRE730AREG","2008-01-01","010","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T158SC","CRE730IRPF","2008-01-01","009","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T158SC","INTRATEIMP","2008-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
