CD_TRATTAMENTO,CD_CONTRIBUTO_RITENUTA,DT_INIZIO_VALIDITA,ID_RIGA,SEGNO,CALCOLO_IMPONIBILE,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
"T001CSC","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T097","ADDREGPREC","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T098","IRPEFSCA6","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8TBNL","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4S67","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI4T68","2002-01-01","003","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8E00","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8F00","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI8Q0R","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI9X0R","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5J0R","2002-01-01","008","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T027","ADDPROVRAT","2004-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T027","ADDCOMRAT","2004-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T099","STI5K0R","2002-01-01","009","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T020C","IVA","2002-01-01","003","+","+001E+002E","2050-12-31","SYSTEM","SYSTEM","1"
"T020C","RAIRPEF","2002-01-01","004","-","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T020C","RIVALSA4","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T021C","IVA","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T021C","RIVALSA4","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T025C","IVA","2002-01-01","003","+","+001E+002E","2050-12-31","SYSTEM","SYSTEM","1"
"T025C","RAIRPEF","2002-01-01","004","-","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T025C","RIVALSA4","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T044C","INPSA","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T048C","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T048C","RAIRPEF","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T049C","RAIRPEF2","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T050C","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T050C","RAIRPEF3","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T052C","RAIRPEF","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T055C","RAIRPEFAUT","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T085C","IVA","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T085C","RIVALSA4","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T086C","RAIRPEFPC","2002-01-01","001","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T089C","IVA","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T089C","RIVALSA2","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T090C","IVA","2002-01-01","003","+","+001E+002E","2050-12-31","SYSTEM","SYSTEM","1"
"T090C","RIVALSA2","2002-01-01","002","+","+001E","2050-12-31","SYSTEM","SYSTEM","1"
"T090C","RIVALSA4","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T091C","IVA","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002SC","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002SC","IRPEFSCA1","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T002CSC","IRPEFSCA1","2002-01-01","002","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","ENPDEPCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","CPDELCP","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","CPDELCPADD","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005","IRPEFSCA","2002-01-01","008","-","-004P-005P-006P-007P","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","CPDELCA","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","ENPDEPCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","FONDOCRCPD","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T005C","CPDELCPADD","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","DS","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","CPDELCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","CPDELCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","CPDELCPADD","2002-01-01","008","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006","IRPEFSCA","2002-01-01","009","-","-005P-006P-007P-008P","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","DS","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","CPDELCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","ENPDEPCA","2002-01-01","004","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","ENPDEPCP","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","FONDOCRCPD","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","CPDELCPADD","2002-01-01","008","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T006C","IRPEFSCA","2002-01-01","009","-","-005P-006P-007P-008P","2050-12-31","SYSTEM","SYSTEM","1"
"T007","IRAP","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007","CPSCA","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007","ENPDEPCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007","CPSCP","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007","ENPDEPCP","2002-01-01","005","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007","FONDOCRCPS","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007","CPSCPADD","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007","IRPEFSCA","2002-01-01","008","-","-004P-005P-006P-007P","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","IRAPCOM","2002-01-01","001","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","CPSCA","2002-01-01","002","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","ENPDEPCA","2002-01-01","003","+","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","CPSCP","2002-01-01","004","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","FONDOCRCPS","2002-01-01","006","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","CPSCPADD","2002-01-01","007","-","000","2050-12-31","SYSTEM","SYSTEM","1"
"T007C","IRPEFSCA","2002-01-01","008","-","-004P-005P-006P-007P","2050-12-31","SYSTEM","SYSTEM","1"
