CD_TIPO_ARTICOLO,DS_TIPO_ARTICOLO,UTCR,UTUV,PG_VER_REC
"STD","ORDINAZIONE STANDARD","SYSTEM","SYSTEM","1"
"001","Tipo ordinazione fittizio","SYSTEM","SYSTEM","1"
