CD_NATURA,DS_NATURA,TIPO,FL_ENTRATA,FL_SPESA,UTCR,UTUV,PG_VER_REC
"1","Fonte interna ","FIN","Y","Y","SYSTEM","SYSTEM","1"
"2","Fonte esterna","FES","Y","Y","SYSTEM","SYSTEM","1"
