PG_NAZIONE,CD_GRUPPO_INQUADRAMENTO,DT_INIZIO_VALIDITA,IM_DIARIA,CD_DIVISA,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
52,"2","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
52,"3","2006-07-04","141.9","EURO","2200-12-31","SYSTEM","SYSTEM","1"
52,"4","2006-07-04","135.79","EURO","2200-12-31","SYSTEM","SYSTEM","1"
52,"5","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
52,"6","2006-07-04","115.19","EURO","2200-12-31","SYSTEM","SYSTEM","1"
52,"7","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
52,"8","2006-07-04","149.53","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"1","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"2","2006-07-04","96.12","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"3","2006-07-04","90.02","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"4","2006-07-04","83.92","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"5","2006-07-04","74","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"6","2006-07-04","74","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"7","2006-07-04","96.12","EURO","2200-12-31","SYSTEM","SYSTEM","1"
53,"8","2006-07-04","96.12","EURO","2200-12-31","SYSTEM","SYSTEM","1"
54,"1","2006-07-04","98.41","EURO","2200-12-31","SYSTEM","SYSTEM","1"
54,"2","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
54,"3","2006-07-04","98.41","EURO","2200-12-31","SYSTEM","SYSTEM","1"
54,"4","2006-07-04","91.54","EURO","2200-12-31","SYSTEM","SYSTEM","1"
54,"5","2006-07-04","80.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
54,"6","2006-07-04","80.86","EURO","2200-12-31","SYSTEM","SYSTEM","1"
54,"7","2006-07-04","105.28","EURO","2200-12-31","SYSTEM","SYSTEM","1"
