CD_CDS,FL_COMMESSA_OBBLIGATORIA,FL_PROGETTO_NUMERATORE,PROGETTO_NUMERATORE_CIFRE,IM_SOGLIA_CONTRATTO_S,IM_SOGLIA_CONTRATTO_E,FL_OBBLIGO_PROTOCOLLO_INF,FL_CONTRATTO_CESSATO,BLOCCO_IMPEGNI_CDR_GAE,FL_APPROVA_VAR_PDG,FL_RIBALTATO,FL_APPROVA_VAR_STANZ_RES,IM_SOGLIA_CONSUMO_RESIDUO,FL_BLOCCO_ASS_IMP_IVA,FL_RIPORTA_AVANTI,FL_RIPORTA_INDIETRO,FL_LINEA_PGIRO_E_CDS,FL_LINEA_PGIRO_S_CDS,FL_MOD_OBBL_RES,FL_BLOCCO_IBAN,FL_KIT_FIRMA_DIGITALE,FL_RIACCERTAMENTO,FL_RIOBBLIGAZIONE,UTCR,UTUV,PG_VER_REC
"000","Y","N",0,20000000,20000000,"N","N","E","Y","N","Y",20000000,"Y","Y","Y","N","N","Y","Y","N","N","Y","SYSTEM","SYSTEM","1"
"999","N","N",0,20000000,20000000,"N","N","E","Y","N","Y",50,"Y","Y","Y","N","N","Y","Y","Y","Y","Y","SYSTEM","SYSTEM","1"
