CD_TIPO_RAPPORTO,CD_TRATTAMENTO,UTCR,UTUV,PG_VER_REC
"PROF","T091","SYSTEM","SYSTEM","1"
"PROF","T091C","SYSTEM","SYSTEM","1"
"PROF","T114","SYSTEM","SYSTEM","1"
"PROF","T121","SYSTEM","SYSTEM","1"
"PROF","T121C","SYSTEM","SYSTEM","1"
"PROF","T121CSC","SYSTEM","SYSTEM","1"
"PROF","T121CSP","SYSTEM","SYSTEM","1"
"PROF","T121SP","SYSTEM","SYSTEM","1"
"PROF","T140","SYSTEM","SYSTEM","1"
"PROF","T142","SYSTEM","SYSTEM","1"
"PROF","T142SP","SYSTEM","SYSTEM","1"
"PROF","T152","SYSTEM","SYSTEM","1"
"PROF","T152C","SYSTEM","SYSTEM","1"
"PROF","T153","SYSTEM","SYSTEM","1"
"PROF","T155","SYSTEM","SYSTEM","1"
"PROF","T155C","SYSTEM","SYSTEM","1"
"PROF","T155CSP","SYSTEM","SYSTEM","1"
"PROF","T155F","SYSTEM","SYSTEM","1"
"PROF","T155FC","SYSTEM","SYSTEM","1"
"PROF","T155SP","SYSTEM","SYSTEM","1"
"PROF","T156","SYSTEM","SYSTEM","1"
"PROF","T156C","SYSTEM","SYSTEM","1"
"PROF","T156CSP","SYSTEM","SYSTEM","1"
"PROF","T156F","SYSTEM","SYSTEM","1"
"PROF","T156FC","SYSTEM","SYSTEM","1"
"PROF","T156SP","SYSTEM","SYSTEM","1"
"PROF","T157","SYSTEM","SYSTEM","1"
"PROF","T157C","SYSTEM","SYSTEM","1"
"PROF","T157CSP","SYSTEM","SYSTEM","1"
"PROF","T157F","SYSTEM","SYSTEM","1"
"PROF","T157FC","SYSTEM","SYSTEM","1"
"PROF","T157SP","SYSTEM","SYSTEM","1"
"PROF","T159","SYSTEM","SYSTEM","1"
"PROF","T159F","SYSTEM","SYSTEM","1"
"PROF","T159SP","SYSTEM","SYSTEM","1"
"PROF","T170","SYSTEM","SYSTEM","1"
"PROF","T170C","SYSTEM","SYSTEM","1"
"PROF","T170SP","SYSTEM","SYSTEM","1"
"PROF","T190","SYSTEM","SYSTEM","1"
"PROF","T190SP","SYSTEM","SYSTEM","1"
"PROF","T191","SYSTEM","SYSTEM","1"
"PROF","T191SP","SYSTEM","SYSTEM","1"
"PROF","T202","SYSTEM","SYSTEM","1"
"PROF","T255","SYSTEM","SYSTEM","1"
"PROF","T255C","SYSTEM","SYSTEM","1"
"PROF","T255CSP","SYSTEM","SYSTEM","1"
"PROF","T255SP","SYSTEM","SYSTEM","1"
"PROF","T256","SYSTEM","SYSTEM","1"
"PROF","T256C","SYSTEM","SYSTEM","1"
"PROF","T256CSP","SYSTEM","SYSTEM","1"
"PROF","T256SP","SYSTEM","SYSTEM","1"
"PROF","T257","SYSTEM","SYSTEM","1"
"PROF","T257C","SYSTEM","SYSTEM","1"
"PROF","T257CSP","SYSTEM","SYSTEM","1"
"PROF","T257SP","SYSTEM","SYSTEM","1"
"PROF","T259","SYSTEM","SYSTEM","1"
"PROF","T259C","SYSTEM","SYSTEM","1"
"PROF","T259CSP","SYSTEM","SYSTEM","1"
"PROF","T259SP","SYSTEM","SYSTEM","1"
"PROF","T89SC","SYSTEM","SYSTEM","1"
"RECRITE","T114","SYSTEM","SYSTEM","1"
"RECRITE","T130","SYSTEM","SYSTEM","1"
"RECRITE","T135","SYSTEM","SYSTEM","1"
"RECRITE","T180SC","SYSTEM","SYSTEM","1"
"STI","STIP","SYSTEM","SYSTEM","1"
