CD_CDS,DS_ESERCIZIO,ST_APERTURA_CHIUSURA,IM_CASSA_INIZIALE,UTCR,UTUV,PG_VER_REC
"999","Esercizio contabile","A",0,"SYSTEM","SYSTEM","1"
"000","Esercizio contabile","A",0,"SYSTEM","SYSTEM","1"
