ABI,DS_ABI,TIPO
"03163","MPS FINANCE BANCA MOB.SIENA","A"
"03164","BANCA DI CREDITO","A"
"03165","INTRA PRIVATE BANK","A"
"03166",,
"03169",,
"03170",,
"03171","MERCHANT BANK SAN MARINO","A"
"03174","BANCA MEDIOSIM S.P.A.","A"
"03175","/LANDESBANK MILANO","A"
"03177","BANCA SAI SPA","A"
"03178","EURO COMMERCIAL BANK","A"
"03181","BNP PARIBAS","A"
"03183","BANCA ESPERIA","A"
"03185","BANCA IFIGEST","A"
"03186","BANCA N.24-7","A"
"03187","BANQUE CORTAL MILANO","A"
"03189","NATEXIS B.QUES POPULAIRES MILANO","A"
"03190","EUROBANCA PRIVATA SPA","A"
"03191","BANCA FINCONSUMO","A"
"03194","BANCO DESIO TOSCANA","A"
"03195","BANCA COMMERCIALE SAMMARINESE","A"
"03197","B.CA DEL GOTTARDO ITALIA SPA","A"
"03198","ADALAYA BANCA IMM.RE","A"
"03199","ARCA BANCA INV.MOBILIARE","A"
"03200","CREDITO MOLISANO","A"
"03201","BANCA MB SPA","A"
"03202","AAA BANK SPA","A"
"03203","BANK INSINGER DE B. NV ITALIA","A"
"03204","BANCA DI LEGNANO","A"
"03206","BANCA DI LEGNANO","A"
"03207","CAPITALIA SPA","A"
"03209","BANCA BSI ITALIA SPA","A"
"03210","MPS LEASING & FACTORING","M"
"03213","BANCA PRIMAVERA SPA","A"
"03216","BANCA 2000 SPA","A"
"03221","BANCA POP.DI LODI","A"
"03225","ISTITUTO DI CREDITO SAMMARINESE         SAN MARINO","A"
"03235","BANCA SCONTO E C/C S.M.CAPUA VET","A"
"03240","BANCA DI TRENTO E BOLZANO","A"
"03244","BANCA DI VALLE CAMONICA","A"
"03250","BANCA EUROMOBILIARE","A"
"03253","BANCA FEDERICO DEL VECCHIO","A"
"03268","BANCA SELLA","A"
"03274","BANCA GENEROSO ANDRIA","A"
"03291","BANCA ITALO ROMENA","A"
"03296","BANCA FIDEURAM SPA","A"
"03300","BANCA DELLA CIOCIARIA","A"
"05524","BANCA POP.DI FAENZA","A"
"05526","BANCO DI S.GIORGIO SPA","A"
"05544","BANCA POP.JONICA","A"
"05548","BANCA POP.DI INTRA","A"
"05550","BANCA POP.DI LANCIANO E SULMONA","A"
"05556","BANCA POP.DI LUINO E VARESE","A"
"05572","BANCA POP.DI MAROSTICA","A"
"05584","BANCA POP.DI MILANO","A"
"05597","BANCA POPOLARE DI MONZA BRIANZA","A"
"05600","BANCA POP.DI NAPOLI","A"
"05602","BANCA POPOLARE VESUVIANA","A"
"05608","BANCA POP. DI NOVARA SPA","A"
"05618","BANCA POP. DI TRIESTE","A"
"05630","BANCA BIPIELLE NETWORK SPA","A"
"05636","BANCA REGIONALE CALABRESE SPA","A"
"05640","BANCA POP.DI RAVENNA","A"
"05650","BANCA POPOLARE DI ROMA SPA","A"
"05652","BANCA POP. DI S. FELICE PANARO","A"
"05664","BANCA POP.DAUNA","A"
"05676","BANCA DI SASSARI SPA","A"
"05696","BANCA POP.DI SONDRIO","A"
"05700","BANCA POP. DI RIETI S.P.A.","A"
"05704","BANCA POP.DI SPOLETO SPA","A"
"05728","BANCA POP. VICENTINA","A"
"05747","BANCA POP.PENISOLA SORRENTINA","A"
"05748","BANCA POPOLARE DELL'ADRIATICO","A"
"05764","BANCA POP. DI SALERNO","A"
"05772","BANCA POP.SANT'ANGELO","A"
"05776","BANCA POP.SANTA VENERA","A"
"05786","BANCA POP. DI CALABRIA","A"
"05787","BANCA MERIDIANA SPA","A"
"05792","BANCA POP.VALCONCA","A"
"05793","BANCA POP.DI CREDITI E SERVIZI","A"
"05824","CASSA SOVV.RISP.PERS.BANKITALIA","A"
"05856","BANCA POP.DELL'ALTO ADIGE","A"
"06000","IST.CRED.CASSE RISP.ITALIANE","A"
"06005","SICILCASSA SPA","A"
"06010","CASSA DEI RISPARMI DI FORLI'SPA","A"
"06015","CASSA DI RISPARMI DI LIVORNO","A"
"06020","CARIPRATO - CASSA RISP.PRATO SPA","A"
"06030","CASSA RISP.DELLA SPEZIA SPA","A"
"06035","CASSAMARCA SPA","A"
"06040","CARISPAQ-C.R.PROV.DELL'AQUILA","A"
"06045","CASSA RISP. DI BOLZANO SPA","A"
"06050","CASSA RISP.PROV.CHIETI SPA","A"
"06055","BANCA DELLE MARCHE SPA","A"
"06060","CASSA RISP.PROV.TERAMO SPA","A"
"06065","CASSA RISP.PROV.VITERBO SPA","A"
"06067","CASSA RISP.DI S.MARINO","A"
"06070","CASSA RISP.PROV.LOMBARDE SPA","A"
"06075","CASSA RISP. DI ALESSANDRIA SPA","A"
"06080","CASSA RISP.DI ASCOLI PICENO SPA","A"
"06085","CASSA RISP.DI ASTI SPA","A"
"06090","CASSA RISP.DI BIELLA E VERCELLI","A"
"06095","CASSA RISP.DI BRA SPA","A"
"06100","CARICAL-C.R.CALABRIA E LUCANIA","A"
"06105","CASSA RISPARMIO CARPI SPA","A"
"06110","CASSA RISP.DI CARRARA SPA","A"
"06115","CASSA RISP.DI CENTO SPA","A"
"06120","CASSA RISP.DI CESENA","A"
"06125","CASSA RISP.CITTA'  CASTELLOSPA","A"
"06130","CASSA RISP.DI CIVITAVECCHIA","A"
"06140","C.R.FABRIANO CUPRAMONTANA SPA","A"
"06145","CARIFANO C.R. DI FANO SPA","A"
"06150","CASSA RISP.DI FERMO SPA","A"
"06155","CASSA RISP.DI FERRARA SPA","A"
"06160","CASSA RISP.DI FIRENZE","A"
"06165","CASSA RISP.DI FOLIGNO","A"
"06170","CASSA RISP.DI FOSSANO","A"
"06174","CARIGE","M"
"06175","BANCA CARIGE SPA","A"
"06180","CASSA RISP.DI GORIZIA SPA","A"
"06185","CASSA RISP.DI IMOLA SPA","A"
"06195","CASSA RISP.DI LORETO SPA-CARILO","A"
"06200","CASSA RISP.DI LUCCA SPA","A"
"06205","BANCA DI ROMAGNA S.P.A.","A"
"06220","CASSA RISP.DI ORVIETO SPA","A"
"06225","CASSA RISP.DI PADOVA ROVIGO SPA","A"
"06230","CASSA RISP.PARMA E PIACENZA SPA","A"
"06235","BANCA DELL'UMBRIA 1462 SPA","A"
"06245","BANCA CARIPE SPA","A"
"06255","CASSA RISP.DI PISA","A"
"06260","CASSA RISP.DI PISTOIA E PESCIA","A"
"06265","CASSA RISP.DI PUGLIA SPA","A"
"06270","CASSA RISP.DI RAVENNA","A"
"06275","CASSA RISP.DI REGGIO EMILIA SPA","A"
"06280","CASSA RISP.DI RIETI SPA","A"
"06285","CASSA RISP.DI RIMINI SPA-CARIM","A"
"06295","CASSA RISP.DI SALUZZO","A"
"06300","CASSA RISP.DI S.MINIATO SPA","A"
"06305","CASSA RISP.DI SAVIGLIANO","A"
"06310","CASSA RISP.DI SAVONA SPA","A"
"06315","CASSA RISP.DI SPOLETO","A"
"06320","BANCA CASSA RISP. TORINO SPA","A"
"06325","CASSA RISP.DI TORTONA SPA","A"
"06330","CASSA RISP.TRENTO ROVERETO SPA","A"
"06335","CASSA RISP.TRIESTE-BANCA SPA","A"
"06340","CASSA RISP. UDINE PORDENONE SPA","A"
"06345","CASSA RISP.DI VENEZIA SPA","A"
"06355","CASSA RISP.VR.VI.BL.AN.BANCA SPA","A"
"06365","BANCA CRV-CASSA RISP.VIGNOLA SPA","A"
"06370","CASSA RISP.DI VOLTERRA S.P.A.","A"
"06375","CASSA RISP. DI MIRANDOLA","A"
"06380","CASSA RISP.DI TERNI E NARNI SPA","A"
"06385","CASSA RISP.IN BOLOGNA SPA","A"
"06390","CASSA RISP.SALERNITANA","A"
"06395","CARISBO","M"
"06906","BANCA REGIONALE EUROPEA SPA","A"
"06915","BANCA DEL MONTE DI LUCCA","A"
"06930","BANCA MONTE PARMA SPA","A"
"07004","C.R.A. DI LISSONE","A"
"07005","B.C.C. DI SARZANA E VAL DI MAGRA","A"
"07008","BANCA CRED.COOP. DI ATRI","A"
"07010","BANCA CREDITO COOP.MAIERATO","A"
"07012","BANCA CREDITO COOPERATIVO BARI","A"
"07013","B.C.C. PASSO MOLISE","A"
"07014","BANCA CREDITO COOP.DEL MISCANO","A"
"07015","C.R.A. DI RUOTI","A"
"07016","BANCA ADRIATICA C.COOP. PESCARA","A"
"07017","BANCA CRED.COOP.CIRCEO TERRACINA","A"
"07019","BANCA CRED.COOP.DI TRAMONTI","A"
"07020","BANCA CRED.COOP.DI MODENA","A"
"07021","BANCA CREDITO COOP. DI AVEZZANO","A"
"07022","BANCA CRED.COOP.DEL BAIANESE","A"
"07023","BCA CRED.COOP.CORLETO PERTICARA","A"
"07025","BANCA DI CREDITO COOP.CEPAGATTI","A"
"07026","BANCA DI TERAMO CRED.COOP.SCRL","A"
"07027","BANCA CRED.COOP.DI MONOPOLI","A"
"07028","BANCA CRED.COOP. DEL METAPONTINO","A"
"07029","B.C.C. LIDO DEI PINI,ARDEA ANZIO","A"
"07030","BANCA CRED.COOP.VALLE DEL CALORE","A"
"07031","BANCA CRED.COOP.CAVA DE' TIRRENI","A"
"07032","BANCA AVELLANA CRED.COOP.","A"
"07033","BANCA CRED.COOP.CASTELFRENTANO","A"
"07034","BANCA CRED.COOP.DI BUSTO ARSIZIO","A"
"07035","BANCA CRED.COOP. DEL PARTENIO","A"
"07036","BANCA SALERNITANA C.C.TIRRENO","A"
"07037","BANCA C.COOP.ETRUSCA SALERNITANA","A"
"07038","BANCA CREDITO COOP. DI PADOVA","A"
"07039","BANCA CR.COOP.DI COLOGNO MONZESE","A"
"07040","BANCA DI CRED.COOP.DI SONDRIO","A"
"07041","BANCA DI ARICCIA DI CRED.COOP.","A"
"07042","BANCA CRED.COOP. DI TRASACCO","A"
"07043","BANCA C.COOP.TIRRENO S.FERDINDO","A"
"07044","CREDIVAL-B.CRED.COOP. GAZZANICA","A"
"07045","B.SS.PIETRO E PAOLO CR.COOP.ROMA","A"
"07046","BANCA CRED.COOP. DI DUGENTA","A"
"07047","BCC DI VELLETRI","A"
"07048","ISOLA D'ELBA BANCA CRED.COOP.","A"
"07049","B.C.C.DEL GOLFO DI GELA","A"
"07050","BANCA C.COOP. NOMENTANA-MENTANA","A"
"07051","BANCA ARETINA SCARL","A"
"07052","B.C.C.VALLE DELL'IRNO","A"
"07053","BIESSE BANCA SCPA ARL","A"
"07054","B.C.COOP.DEL SAVONESE-ALBENGA","M"
"07055","BANCA DI LUCCA CRED.COOP.SCRL","A"
"07056","BANCA C.COOP.ALTA MURGIA","A"
"07057","B.MONTAGNANESE SCALIGERA C.COOP.","A"
"07058","BANCA REGGIANA CREDITO COOP.","A"
"07059","BANCA CREDITO COOPERATIVO SOFIGGE","M"
"07060","B.CRED.COOP. DEL GARIGLIANO","A"
"07061","BANCA CREDITO COOP.DELLA PRESILA","A"
"07062","BANCA CREDITO COOP.MEDIOCRATI","A"
"07063","B.C.C.TIVOLI E VALLE DELL'ANIENE","A"
"07064","B.C.C. GENOVESE","A"
"07065","BANCA FORTORINA CRED.COOP.SCPARL","A"
"07066","B.CRED.COOP.DEI COMUNI CILENTANI","A"
"07067","BANCA DELLA TUSCIA CRED.COOP.","A"
"07068","BANCA DI CATANZARO B.C.C.","A"
"07069","CRERIBANCO-C.COOP.ALESSANDRIA","A"
"07070","B.DI CESENA C.COOP.CESENA RONTA","A"
"07071","BANCA DELLA VALSASSINA C.COOP.","A"
"07072","EMILBANCA CRED.COOP.BOLOGNA","A"
"07073","BANCA ROMAGNA CENTRO C.COOP.SCRL","A"
"07074","B.CA MONASTIER/SILE-MON.DI TREV.","A"
"07075","BANCA TRASIMENO ORVIETANO C.COOP","A"
"07076","B.C.C. CREMASCA","A"
"07077","C.R.DEL CREMASCO BCC CRED.COOP.","A"
"07078","BCC CASTELLI E IBLEI","A"
"07079","BANCA CATONE DI C.COOP.","A"
"07080","CREDITO ETNEO BANCA DI C.COOP.","A"
"07081","BANCA DI ASCOLI PICENO C.COOP.","A"
"07082","CREDITO COOP.BOLOGNESE SCARL","M"
"07083","B.C.C.PRIVERNATE","A"
"07084","B.C.C. DELLA MARCA","A"
"07085","BANCA DI CERVIGNANO ALTO FRIULI","A"
"07086","BANCA C.COOP.ADRIATICO TERAMANO","A"
"07087","BANCA DI TARANTO B.C.C.","A"
"07088","B.DI PERUGIA E VALTIBERINA","A"
"07090","BANCA MALATESTIANA CRED.COOP.","A"
"07535","BANCA DEL MONTE DI FOGGIA","A"
"07601","UFFICIO PPTT DISTRETTO ROMA","A"
"08000","ICCREA-IS.CEN.BANCHE CRED.COOP.","A"
"08001","B.CRED.COOP.CASALMORO E BOZZOLO","A"
"08003","CASSA ARTIGIANA VALDINIEVOLE","A"
"08010","C.R. DELLA VAL BADIA","A"
"08011","C.R.BASSA VALLAGARINA B.C.COOP.","A"
"08012","C.R.ALBIANO E ALTA VAL DI CEMBRA","A"
"08013","C.R. DI ALDENO E CADINE","A"
"08015","C.R. DI ANDRIANO","A"
"08016","C.R. DI ARCO","A"
"08019","C.R.A. DI ALBIDONA","A"
"08020","C.R. ALTA PUSTERIA","A"
"08021","BANCA CREDITO COOP.SUD FRIULI","A"
"08024","C.R. DI BERSONE","A"
"08026","C.R. DI LEDR B.C.C.","A"
"08030","BANCA C.COOP.BORGHETTO LODIGIANO","A"
"08031","C.R. DI BRENTONICO","A"
"08032","C.R. DI BREZ","A"
"08033","C.R. DI BRONZOLO - ORA","A"
"08035","C.R. DI BRUNICO","A"
"08036","B.C.C. DELL'ALENTO - CASTELNUOVO","A"
"08037","C.R.A. DI ITALA","A"
"08039","BANCA CRED.COOP.DI SASSANO","A"
"08041","C.R. DI CALAVINO","A"
"08042","C.R. DI RABBI E CALDES","A"
"08043","C.R.DI CALDONAZZO BANCA CR.COOP.","A"
"08044","C.R. DI CAMPITELLO E CANAZEI","A"
"08047","C.R. DEL VANOI","A"
"08055","C.R. DI CASTELLO TESINO","A"
"08056","CASSA RAIFFEISEN CASTELROTTO","A"
"08057","C.R. CENTROFIEMME","A"
"08058","C.R. DI CAVARENO","A"
"08059","C.R. DI CAVEDINE","A"
"08060","C.R. DI CIARDES","A"
"08062","C.R. DI PEJO E OSSANA","A"
"08063","C.R. DI CONDINO","A"
"08065","C.R. DI CORNEDO-COLLEPIETRA","A"
"08066","C.R. ALTA VENOSTA","A"
"08071","BANCA CR.COOP. C.R.A. VALLEDOLMO","A"
"08078","C.R. DI DARZO E LODRONE","A"
"08079","C.R. BASSA ANAUNIA","A"
"08080","C.R. DI DOBBIACO","A"
"08081","CASSA RURALE DI BOLZANO","A"
"08083","C.R.A.DI FISCIANO CRED.COOP.","A"
"08086","C.R.A. DI FALCONARA MARITTIMA","A"
"08088","C.R. DI QUADRA-FIAVE' B.C.C.","A"
"08089","CASSA RAIFFEISEN FIE'","A"
"08091","C.R. DI FOLGARIA","A"
"08092","C.R. DI FONDO - BREZ B.C.C.","A"
"08094","CASSA RURALE DI FUNES","A"
"08095","BANCA CRED.COOP. DI VIANO","A"
"08097","C.R. DI BONDO-BREGUZZO-RONCONE","A"
"08100","C.R. DI GIOVO","A"
"08102","C.R. DELLA BASSA VALSUGANA","A"
"08105","C.R. DI IAVRE'","A"
"08107","C.R. DI ISERA","A"
"08110","C.R. DI LACES","A"
"08112","C.R. DI LAGUNDO","A"
"08113","C.R. DI LAION BARBIANO VILLANDRO","A"
"08114","C.R. DI LAIVES","A"
"08115","C.R. DI LANA","A"
"08117","CASSA RAIFFEISEN DI LASA","A"
"08120","C.R. DI LAVIS","A"
"08121","C.R. DI LEVICO","A"
"08122","C.R. DI LIVO E RUMO","A"
"08123","C.R. DI LIZZANA","A"
"08125","B.C.COOP.DI NUSCO","A"
"08126","C.R.A. DI MONTEPAONE","A"
"08129","C.R.A. DEL BELICE","A"
"08130","C.R.A. DI FENIS NUS E S. MARCEL","A"
"08132","C.R. DELLA VALLE DEI LAGHI","A"
"08133","C.R. DI MERANO","A"
"08134","C.R. DI MARLENGO","A"
"08135","C.R. DI MELTINA","A"
"08137","C.R. DI MEZZANO","A"
"08138","C.R. DI MEZZOCORONA","A"
"08139","C.R.MEZZOLOMBARDO E S.MICHELE A.","A"
"08140","C.R. DI MOENA","A"
"08142","C.R. DI MOLINA DI LEDRO","A"
"08145","C.R. DI MORI","A"
"08147","BANCA CREDITO COOP.DEL POLLINO","A"
"08148","C.R. DI MONGUELFO-CASIES-TESIDO","A"
"08149","C.R.A. DI BASCIANO","A"
"08150","C.R.A. DI CARLOPOLI","A"
"08153","C.R. BASSA VAL DI FIEMME","A"
"08154","BANCA CREDITO COOP.VALLO LUCANIA","A"
"08155","C.R. DI NALLES","A"
"08157","C.R. DI NATURNO","A"
"08161","CASSA RAIFFEISEN NOVA LEVANTE","A"
"08162","CASSA RAIFFEISEN DI NOVA PONENTE","A"
"08163","C.R. ALTA VALDISOLE E PEJO BCC","A"
"08165","C.R. DELLA VALLARSA","A"
"08166","C.R.A. DI VAL TORDINO","A"
"08167","C.R. DI OLLE B.C.C.","A"
"08168","C.R. DI OLTRESARCA","A"
"08175","C.R. DI PARCINES","A"
"08178","C.R. DI PERGINE VALSUGANA","A"
"08179","C.R. DI PINZOLO","A"
"08180","C.R. DI POVO E VIGO CORTESANO","A"
"08182","C.R. WIPPTAL","A"
"08183","CASSA RAIFFEISEN PRATO STELVIO","A"
"08184","C.R.ALTA VAL DI FIEMME B.C.COOP.","A"
"08185","C.R. DI PRESSANO","A"
"08186","BANCA ATESTINA DI CRED.COOP.","A"
"08187","C.R.RENON-RAIFFEISENKASSE RITTEN","A"
"08189","B.C.C.VALLE TRIGNO(MAFALDA S.S.)","A"
"08191","B.C.C. DI S.MARTINO IN PENSILIS","A"
"08192","C.R. GIUDICARIE E PAGANELLA","A"
"08197","C.R. DI RAGOLI E MONTAGNE","A"
"08200","C.R. NOVELLA E ALTA ANAUNIA BCC","A"
"08201","C.R. DI RIFIANO-CAINES","A"
"08206","C.R. DI RONCEGNO","A"
"08209","C.R. DI ROVERE' DELLA LUNA","A"
"08210","C.R.DI ROVERETO BANCA CRED.COOP.","A"
"08214","C.COOP.INTERPROV.LOMBARDO","A"
"08215","BANCA CRED.COOP.DI SCIGLIANO","A"
"08216","C.R.A. DI CAMPOROSSO  VAL NERVIA","A"
"08218","BANCA CRED.COOP. VULTURE VITALBA","A"
"08219","C.R.A. DI CIRCELLO","A"
"08220","C.R. DI SALORNO","A"
"08221","C.R. DI SAMONE BANCA CRED.COOP.","A"
"08226","C.R. DI S.MARTINO IN PASSIRIA","A"
"08229","C.R. DI SANTA MASSENZA","A"
"08231","C.R. DI ULTIMO","A"
"08232","C.R. DI SAONE","A"
"08233","C.R. DI SARENTINO","A"
"08234","C.R. DI SCENA","A"
"08235","C.R. DI SCURELLE","A"
"08238","C.R. DI SELVA GARDENA","A"
"08239","C.R. DI SENALES","A"
"08244","C.R. DI SILANDRO","A"
"08245","C.R. DI SOPRAMONTE","A"
"08248","C.R. DI SPIAZZO","A"
"08249","CASSA RAIFFEISEN STILVES-TRENS","A"
"08250","C.R. DI STORO","A"
"08251","C.R. DI STREMBO","A"
"08252","C.R. DI STRIGNO E SPERA","A"
"08253","B.C.C. DI TEORA ALTO OFANTO","A"
"08255","C.R. DELL'OLTRADIGE","A"
"08256","C.R.A. DI CERVINO E DURAZZANO","A"
"08258","CASSA CREDITO COOP.MEDIO JONIO","A"
"08262","C.R.A. DI RAVENNA E RUSSI","A"
"08263","C.R.D'ANAUNIA BCA CR.COOP.-TAIO","A"
"08264","C.R. DI TASSULLO  E NANNO","A"
"08265","C.R. DI TELVE","A"
"08269","C.R. DI TERLANO","A"
"08273","C.R. DI TESIMO","A"
"08276","C.R. DI TIONE DI TRENTO","A"
"08277","C.R. DI TIRES","A"
"08278","CASSA RAIFFEISEN TIROLO","A"
"08279","C.R. DI PRIMIERO","A"
"08281","C.R. DI TUBRE","A"
"08282","C.R.DI TUENNO BANCA CRED.COOP.","A"
"08283","C.R.A. JONICA S. CATERINA","A"
"08284","C.R.A. DELL'OLTREPO' PAVESE","A"
"08285","C.R. DI TURES-AURINA","A"
"08291","B.C.C. VALLE RAIO-TORNIMPARTE","A"
"08295","C.R. VANDOIES","A"
"08296","C.R. DI VERMIGLIO","A"
"08301","C.R. DEL LOMASO B.C.C.","A"
"08302","C.R. DI VILLABASSA","A"
"08304","C.R. DI VILLAZZANO E TRENTO","A"
"08305","C.R. ALTA VALLAGARINA","A"
"08307","CASSA RAIFFEISEN VALLE ISARCO","A"
"08308","C.R.A. DI VENTICANO","A"
"08309","B.C.COOP.R.D'EZZELINO C.LUSIANA","A"
"08310","C.R.A. B.C.C. DI CALABRITTO","A"
"08311","C.R.A. DI COSTERMANO","A"
"08315","B.C.COOP. MARANO DI VALPOLICELLA","A"
"08316","C.R.PINETANA FORNACE E SEREGNANO","A"
"08320","C.R.A. DI ALTAVILLA SILENTINA","A"
"08322","BANCA VERONESE C.C.CONCAMARISE","A"
"08324","B.C.C.BASSO LODIGIANO C.BANINI","A"
"08325","C.R.A. DEL MUGELLO","A"
"08326","BANCA CR.COOP.CATTEDRALE ADRIA","A"
"08327","BANCA CREDITO COOP.DI ROMA","A"
"08329","C.R.A. DELL'ALTA BRIANZA","A"
"08330","BANCA CRED.COOP.BASSA FRIULANA","A"
"08331","BANCA CRED.COOP.DELL'ALTO RENO","A"
"08332","BANCA PICENA TRUENTINA CRED.COOP","A"
"08334","B.C.C. S.FELICITA M. DI AFFILE","A"
"08338","BANCA CREDITO COOP.ALBEROBELLO","A"
"08340","C.R.A. PADANA SCRL","A"
"08341","BANCA CREDITO COOP.DI ALTOFONTE","A"
"08342","C.R.A. DI AQUARA","A"
"08343","C.R.A. DI AMATRICE","A"
"08344","BANCA CREDITO COOP.DI ANAGNI","A"
"08345","C.R.A. DI ANGHIARI","A"
"08350","C.R.ARGELATO E BOLOGNA CRED.COOP","A"
"03312","BANCA MERCANTILE ITALIANA","A"
"03325","BANCA MORGAN STANLEY","A"
"03328","BANCA NAZIONALE DELL'AGRICOLTURA","A"
"03332","BANCA PASSADORE & C.","A"
"03336","CREDITO BERGAMASCO","A"
"03376","BANCA S. PAOLO DI BRESCIA","A"
"03377","NATIONAL WESTMINSTER BANK","A"
"03380","BANK OF AMERICA NT. AND SA.","A"
"03381","BANK SEPAH","A"
"03388","BANCA STABIESE","A"
"03400","BANCA TOSCANA","A"
"03418","BANKERS TRUST INTERNATIONAL PLC","A"
"03424","BANCO CHIAVARI E RIVIERA LIGURE","A"
"03425","BANCO DI CREDITO P.AZZOAGLIO","A"
"03428","BANCO DI CREDITO SICILIANO","A"
"03432","CREDIT AGRICOLE INDOSUEZ","A"
"03440","BANCO DI DESIO E DELLA BRIANZA","A"
"03456","BANCA APULIA SPA","A"
"03465","BANCO DO BRASIL","A"
"03466","BANCO CENTRAL HISPANO","A"
"03475","ING BANK","A"
"03477","RIEGER BANK AG","A"
"03479","BNP PARIBAS SECURITIES SERVICES","A"
"03481","CITCO BANK NEDERLAND N.V.","A"
"03482","RABOBANK NEDERLAND COOP.C.RAIFF.","A"
"03485","BANQUE NATIONALE DE PARIS","A"
"03487","THE BANK OF TOKYO MITSUBISHI LTD","A"
"03488","CASSA LOMBARDA","A"
"03489","INDUSTRIAL BANK OF JAPAN","A"
"03490","BANQUE BRUXELLES LAMBERT","A"
"03492","CASSA SAN GIACOMO","A"
"03493","CASSA CEN.RAIFFEISEN ALTO ADIGE","A"
"03494","CHASE MANHATTAN BANK","A"
"03496","CREDIT COMMERCIAL DE FRANCE","A"
"03497","CREDIT LYONNAIS","A"
"03499","THE SUMITOMO BANK LTD. FILIT","A"
"03500","BANCO DI BRESCIA S.PAOLO CAB","A"
"03502","BANCO SANTANDER","A"
"03512","CREDITO ARTIGIANO","A"
"03530","CREDITO INDUSTRIALE SAMMARINESE","A"
"03556","ROLO BANCA 1473 SPA","A"
"03561","ARAB BANKING CORPORATION","A"
"03563","DRESDNER BANK","A"
"03566","CITYBANK N.A.","A"
"03567","MORGAN GUARANTY TRUST CO N.Y.","A"
"03576","BANCO BILBAO VIZCAYA","A"
"03579","THE FUJI BANK LTD","A"
"03582","THE DAI ICHI KANGYO BANK LTD","A"
"03583","BANQUE WORMS S.A.","A"
"03586","WESTDEUTSCHE LANDESBANK ITALIA","A"
"03589","RASBANK","A"
"03590","REPUBLIC NAT. BANK OF NEW YORK","A"
"03593","SOCIETE GENERALE","A"
"03595","GENERAL BANK","A"
"03598","U.B.A.E.ARAB ITALIAN BANK","A"
"03599","CASSA CENTR.CASSE RUR.TRENTINE","A"
"03600","NUOVA BANCA DI CRED. DI TRIESTE","A"
"05000","IST.CENTR.BANCHE POP.ITAL.","A"
"05008","BANCA AGRICOLA","A"
"05009","BANCA POPOLARE DI FORLI'","A"
"05010","BANCA POPOLARE DI RHO","A"
"05011","BANCA POP.DELLA VAL D'AGRI","A"
"05012","BANCA AGRICOLA POPOLARE DI CEREA","A"
"05013","BANCA POP.FERRARA ROVIGO BPFR","A"
"05014","BANCA POP. SESTO S.GIOVANNI","A"
"05015","BANCA POP. PROVINCIALE LECCHESE","A"
"05017","BANCA POPOLARE DEL TICINO","A"
"05018","BANCA POPOLARE ETICA","A"
"05019","BANCA POPOLARE DI CIVIDALE","A"
"05021","BANCA POPOLARE DEL SINNI","A"
"05022","BP CREDIEUNORD","A"
"05023","BANCA POPOLARE DI SVILUPPO","A"
"05024","BANCA AGRICOLA MANTOVANA","A"
"05025","BANCA FARNESE SCPARL","A"
"05036","BANCA AGRICOLA POPOL. DI RAGUSA","A"
"05040","BANCA ANTONIANA POP.VENETA SPA","A"
"05044","BANCA CATTOLICA S.P.A.","A"
"05048","BANCA POP.COMMERCIO E INDUSTRIA","A"
"05060","BANCA COOPERATIVA CATTOLICA","A"
"05064","BANCA COMMERCIALE DI MAZARA SPA","A"
"05080","BANCA DI IMOLA","A"
"05104","BANCA POPOLARE DEL LAZIO SCARL","A"
"05116","BANCA COOP.VALSABBINA","A"
"05132","BANCA DEL POPOLO","A"
"05141","BANCA CREDITO POP.SIRACUSA","A"
"05142","BANCA CREDITO POP.T.DEL GRECO","A"
"05144","COOPERBANCA S.P.A.","A"
"05156","BANCA DI PIACENZA","A"
"05161","BANCA POP.PROVINCIA BELLUNO","A"
"05164","BANCA POP.DI LODI","A"
"05180","BANCA POP.DI BRONTE SCARL","A"
"05187","BANCA POPOLARE EMILIA ROMAGNA AG. 2","M"
"05188","B.POP.DI VERONA E NOVARA","A"
"05200","BANCA POP.DI BELPASSO","A"
"05204","BANCA POPOLARE DI MANTOVA","A"
"05216","CREDITO VALTELLINESE","A"
"05228","BANCA POP.DI CREMA","A"
"05232","BANCA POP. DI LAJATICO SCARL","A"
"05244","BANCA POP.ANDRIESE","A"
"05248","BANCA POP.PIVA VALDOBBIADENE","A"
"05256","BANCA POP. DI CROTONE","A"
"05262","BANCA POP.PUGLIESE SCARL","A"
"05284","BANCA POP. COOP. DI CALATAFIMI","A"
"05290","BANCA POP. DEL TRENTINO","A"
"05296","BANCA POP.DI FONDI","A"
"05297","BANCA POP.DEL FRUSINATE","A"
"05308","BANCA POP.DI ANCONA","A"
"05332","NUOVA BANCA MEDITERRANEA SPA","A"
"05336","BANCA POP. FRIULADRIA","A"
"05352","BANCA POP.DI TODI","A"
"05360","BANCA POP.UDINESE","A"
"05372","BANCA POP.DEL CASSINATE","A"
"05384","BANCA POP.DELLA MARSICA","A"
"05385","BANCA POP.PUGLIA E BASILICATA","A"
"05387","BANCA POP.DELL'EMILIA ROMAGNA","A"
"05390","BANCA POP.DELL'ETRURIA DEL LAZIO","A"
"05392","BANCA DELLA CAMPANIA S.p.A.","A"
"05398","BANCA POP.DEL MATERANO","A"
"05400","BANCA POP.DEL MOLISE","A"
"05408","BANCA POP. DI ABBIATEGRASSO","A"
"05414","BANCA POP.DI APRILIA","A"
