ABI,DS_ABI,TIPO
"08562","C.R.A. DI FORNACETTE","A"
"08565","C.R.A. DI BUCCINO","A"
"08566","B.C.C. DI CORTENOVA VALSASSINA","A"
"08567","C.R.A. DI DASA'","A"
"08568","C.CRED.COOP.MEDIA MAGNA GRECIA","A"
"08570","C.R.A. GALLO DI GRINZANE CAVOUR","A"
"08572","BANCA CRED.COOP. DI GAMBATESA","A"
"08574","C.R.A. DI GATTEO","A"
"08575","BANCA CRED.COOP.AGRO BRESCIANO","A"
"08578","C.R.A. DI GRADARA","A"
"08581","B.BENTIVOGLIO B.C.COOP.GUALTIERI","A"
"08583","BANCA CREDITO COOP.DI GUASTALLA","A"
"08586","BANCA CREDITO COOP.GHISALBA","A"
"08587","BANCA C.C.VALDOSTANA S.C.A.R.L.","A"
"08589","C.R.A. DI GIFFONI VALLE PIANA","A"
"08590","BANCA DEL CENTROVENETO CRED.COOP","A"
"08591","BANCA CREDITO COOP.DI IMPRUNETA","A"
"08592","BANCA CREDITO COOP.DI INZAGO","A"
"08593","BANCA CRED.COOP.PIAVE LIVENZA","A"
"08595","B.C.C. DI ISOLA CAPO RIZZUTO","A"
"08596","BANCA CREDITO COOP.SAN MARCO","A"
"08597","BANCA CRED.COOP.DI LAURENZANA","A"
"08600","BANCA CREDITO COOP.LEPRENO","A"
"08601","C.R.A. DI LERCARA FRIDDI","A"
"08603","C.R.A. DI LEVERANO","A"
"08606","BANCA CRED.COOP.CANOSA-LOCONIA","A"
"08607","B.C.COOP.LOCOROTONDO C.R.A.","A"
"08608","CRA APPENNINO BO-LOIANO MONZUNO","A"
"08610","B.COLLI EUGANEI LOZZO ATESTINO","A"
"08613","C.R.A. DI LUGO","A"
"08616","B.CA CRED.COOP.LUSIA CAVAZZANA","A"
"08617","BANCA DI CRED.COOP. DI LUZZI","A"
"08618","BANCA DI CRED.COOP. DI LEZZENO","A"
"08619","BANCA CREDITO COOP. DI LESMO","A"
"08622","CR.COOP.CRA LUCINICO FARRA CAPR.","A"
"08623","BCA DI CAVOLA E SASSUOLO CR.COOP","A"
"08624","BANCA C.C.GRAN PARADISO-M.BIANCO","A"
"08626","BANCA CRED.COOP. DI MACERONE","A"
"08630","C.R.A. DI MANTIGNANA","A"
"08631","BANCA CREDITO COOP.MANZANO","A"
"08633","BANCA CREDITO COOP.MARESCA","A"
"08634","BANCA CRED.COOP.DI MARIANOPOLI","A"
"08635","B.C.C. MARIA SS.IMMACOLATA CERDA","A"
"08636","BANCA C.COOP.MAREMMA GROSSETANA","A"
"08637","BANCA CRED.COOP.FRIULI CENTRALE","A"
"08638","ROMAGNA CENTRO BANCA CRED.COOP.","A"
"08639","BANCA CREDITO COOP.MASIANO","A"
"08640","BCC CASTELLI MAZZARINO E BUTERA","A"
"08645","BANCA CREDITO COOP.DI MILENA","A"
"08646","C.R.A. DI MINERBIO","A"
"08652","C.R.A. DEL TRASIMENO","A"
"08656","C.R.A. DI MONASTIER DI TREVISO","A"
"08657","BANCA DI PALERMO S.P.A.","A"
"08658","C.R.A. DEL MONTAGNANESE","A"
"08661","B.C.C. DI MONTEMILETTO","A"
"08662","BANCA C.CO.MONTECORVINO ROVELLA","A"
"08669","B.CRED.COOP.MONTE MAGRE' SCHIO","A"
"08670","C.R.A. DI MONTEPULCIANO","A"
"08671","BANCA CREDITO COOP.DI MONTEREALE","A"
"08672","BANCA CRED.COOP.DI MONTETERENZIO","A"
"08673","BANCA MONTERIGGIONI CRED. COOP.","A"
"08674","BANCA CRED.COOP. DI MONTE ROMANO","A"
"08676","BCA CR.COOP.COLLI MORENICI GARDA","A"
"08677","C.R.A. DI MONTODINE","A"
"08679","C.R.A. DI MOZZANICA","A"
"08682","BCC AL.CASERTANO E BAS.FRUSINATE","A"
"08685","B.C.COOP.GARFAGNANA-MINUCCIANO","A"
"08688","BANCA CRED.COOP.MARINA DI GINOSA","A"
"08689","C.R.A. DI MARCON","A"
"08690","BCA CR.COOP.ALTO CILENTO LAURINO","A"
"08692","BANCA CREDITO COOP.DI BRESCIA","A"
"08693","C.R.A. DI NETTUNO","A"
"08697","C.R.A. DI CIVITELLA","A"
"08699","C.R.A. DI OFFANENGO","A"
"08700","B.C.COOP.PESARO E S.IPPOLITO","A"
"08701","C.R.A. DI ORSAGO","A"
"08703","C.R.A. DI OSPEDALETTO EUGANEO","A"
"08704","C.R.A. DI OSTRA","A"
"08705","C.R.A. DI OSTRA VETERE","A"
"08706","BANCA CRED.COOP. DI OSTUNI","A"
"08707","C.R.A. DI OTRANTO","A"
"08708","C.R.A. OPPIDO LUCANO RIPACANDIDA","A"
"08711","C.R.A. CARLO DE CADORNA","A"
"08712","BANCA CR.COOP.SEN.P.GRAMMATICO","A"
"08713","C.R.A. DI PACHINO","A"
"08715","BANCA CREDITO COOP.DI UDINE","A"
"08716","BANCA CREDITO COOP.PALESTRINA","A"
"08717","CRED.COOP.C.R.A.DI PALIANO-FR-","A"
"08720","C.R.A. DI PEDEMONTE","A"
"08724","C.R.A. DI PIAZZE","A"
"08725","BANCA CRED.COOP.PIETRAFITTA (CS)","A"
"08726","BANCA CRED.COOP. DELLA VERSILIA","A"
"08728","BANCA CRED.COOP.PIOVE SACCO","A"
"08730","BANCA CREDITO COOP.PITIGLIANO","A"
"08731","BANCA CREDITO COOP.PERGOLA","A"
"08732","B.CRED.COOP.VICENTINO POJANA M.","A"
"08733","BANCA DI CRED.COOP. DI POLICORO","A"
"08735","B.C.COOP.POMPIANO E FRANCIACORTA","A"
"08736","C.R.A. DI PONTASSIEVE","A"
"08737","BANCA CRED.COOP.POLLINA E FINALE","A"
"08738","C.R.A.DELL'AGRO PONTINO-B.CR.COO","A"
"08743","BANCA CRED.COOP.DEL VELINO","A"
"08744","C.R.A. DI DOVERA E POSTINO","A"
"08745","BANCA CREDITO COOP.VALLE SERIANA","A"
"08747","BANCA CRED.COOP. PRATOLA PELIGNA","A"
"08749","C.R.A. PREGANZIOL S.CRIST.QUINTO","A"
"08753","B.C.C. PIANFEI E ROCCA DE' BALDI","A"
"08756","BANCA CRED.COOP. DI PIANOPOLI","A"
"08757","B.C.C. DI QUINTO VICENTINO","A"
"08760","C.R.A. DI PREMANA","A"
"08765","BANCA C.COOP.RECANATI COLMURANO","A"
"08769","BANCA DI CR.COOP.DI RIPATRANSONE","A"
"08770","C.R.A. DI RIVAROLO MANTOVANO","A"
"08771","C.R.A. RIVOLTA D'ADDA AGNADELLO","A"
"08772","C.R.A.DI ROANA CRED.COOP.","A"
"08777","BANCA CREDITO COOP.DEL TUSCOLO","A"
"08778","C.R.A. DI RONCIGLIONE","A"
"08779","C.R.A. DI RONTA","A"
"08780","BANCA CRED.COOP.ROTA GRECA","A"
"08781","BANCA CREDITO COOP.DI ROVEREDO","A"
"08783","BANCA DI CRED.COOP. CUNEESE","A"
"08784","B.C.C. ""MONTE PRUNO"" DI ROSCIGNO","A"
"08785","BANCA CREDITO COOP.ALTO FRIULI","A"
"08787","BANCA CRED.COOP. DI RIANO","A"
"08792","C.R.A. DI SALA DI CESENATICO","A"
"08794","BANCA CREDITO COOP.LAUDENSE LODI","A"
"08796","BANCA CRED.COOP.SAMBUCA SICILIA","A"
"08797","BANCA CR.COOP.SAMMICHELE BARI","A"
"08799","C.R.A. DI CREMA","A"
"08800","BANCA CRED.COOP.S.BIAGIO PLATANI","A"
"08802","C.R.A. DEL CHIANTI FIORENTINO","A"
"08804","BANCA CREDITO COOP.SAN FILI","A"
"08805","BANCA CR.COOP.S.GIORGIO E MEDUNO","A"
"08806","C.R.A. DI S GIORGIO DI CESENA","A"
"08807","C.R.A. DI SAN GIORGIO FARA","A"
"08810","CRED.COOP.C.R.A S.GIOV.ROTONDO","A"
"08811","C.R.A. DI SAN GIOVANNI VALDARNO","A"
"08812","BANCA CREDITO COOP.FORMELLO","A"
"08817","B.CR.COOP.S.MARZANO S.GIUSEPPE","A"
"08824","BANCA CRED.COOP. DI SERINO","A"
"08825","BANCA C.COOP.SCALIGERA ORIENTALE","A"
"08826","B.C.COOP.PESARO V.FASTIGGI","A"
"08829","C.R.A. DI SAN PIETRO IN VINCIO","A"
"08833","BANCA CRED.COOP. S.ALBANO STURA","A"
"08839","BANCA CRED. COOP.S.ANDREA SUASA","A"
"08843","BANCA CREDITO COOP.SANT'ELENA","A"
"08844","BANCA C.COOP.SANTERAMO IN COLLE","A"
"08847","C.R.A. DI SAN VINCENZO LA COSTA","A"
"08849","B.CRED.COOP.S.VITO E S.GIUSTINA","A"
"08850","C.R.A. DI SARSINA","A"
"08851","BANCA CRED.COOP.DI SATURNIA","A"
"08852","ROMAGNA EST BANCA DI CRED.COOP.","A"
"08853","B.C.C. DI SAVOGNA D'ISONZO","A"
"08855","BANCA CRED.COOP.SCAFATI E CETARA","A"
"08859","BANCA CREDITO COOP.DI SEGNI","A"
"08865","BANCA CRED.COOP.SESTO S.GIOVANNI","A"
"08866","BANCA CREDITO COOP.DI SIGNA","A"
"08867","BANCA CREDITO COOP.SILA PICCOLA","A"
