TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_VOCE_EP,CD_VOCE_EP_CONTR,UTCR,UTUV,PG_VER_REC
"D","S","11032","C11032","P11032","SYSTEM","SYSTEM","1"
"D","S","12011","C12011","P12011","SYSTEM","SYSTEM","1"
"D","S","13003","C13003","P13003","SYSTEM","SYSTEM","1"
"D","S","13007","C13007","P13007","SYSTEM","SYSTEM","1"
"D","S","13038","C13038","P13038","SYSTEM","SYSTEM","1"
"D","S","13039","C13039","P13039","SYSTEM","SYSTEM","1"
"D","S","22017","A22017","P22017","SYSTEM","SYSTEM","1"
"D","S","22026","A22026","P22026","SYSTEM","SYSTEM","1"
"C","E","21004","R21004","A21004","SYSTEM","SYSTEM","1"
"D","S","13043","C13043","P13043","SYSTEM","SYSTEM","1"
"D","S","13046","C13046","P13046","SYSTEM","SYSTEM","1"
"D","S","13051","C13051","P13051","SYSTEM","SYSTEM","1"
"D","S","13056","C13056","P13056","SYSTEM","SYSTEM","1"
"D","S","13058","C13058","P13058","SYSTEM","SYSTEM","1"
"D","S","13066","C13066","P13066","SYSTEM","SYSTEM","1"
"D","S","13073","C13073","P13073","SYSTEM","SYSTEM","1"
"D","S","13082","C13082","P13082","SYSTEM","SYSTEM","1"
"D","S","13083","C13083","P13083","SYSTEM","SYSTEM","1"
"D","S","13103","C13103","P13103","SYSTEM","SYSTEM","1"
"D","S","13111","C13111","P13111","SYSTEM","SYSTEM","1"
"D","S","14001","C14001","P14001","SYSTEM","SYSTEM","1"
"D","S","14016","C14016","P14016","SYSTEM","SYSTEM","1"
"D","S","17003","C17003","P17003","SYSTEM","SYSTEM","1"
"D","S","14021","C14021","P14021","SYSTEM","SYSTEM","1"
"D","S","12017","C12017","P12017","SYSTEM","SYSTEM","1"
"D","S","13006","C13006","P13006","SYSTEM","SYSTEM","1"
"D","S","13011","C13011","P13011","SYSTEM","SYSTEM","1"
"D","S","13027","C13027","P13027","SYSTEM","SYSTEM","1"
"D","S","13031","C13031","P13031","SYSTEM","SYSTEM","1"
"D","S","22006","A22006","P22006","SYSTEM","SYSTEM","1"
"D","S","22010","A22010","P22010","SYSTEM","SYSTEM","1"
"C","E","21005","R21005","A21005","SYSTEM","SYSTEM","1"
"C","E","21009","R21009","A21009","SYSTEM","SYSTEM","1"
"C","E","21010","R21010","A21010","SYSTEM","SYSTEM","1"
"C","E","21014","R21014","A21014","SYSTEM","SYSTEM","1"
"D","S","13052","C13052","P13052","SYSTEM","SYSTEM","1"
"D","S","13054","C13054","P13054","SYSTEM","SYSTEM","1"
"D","S","13062","C13062","P13062","SYSTEM","SYSTEM","1"
"D","S","13077","C13077","P13077","SYSTEM","SYSTEM","1"
"D","S","13086","C13086","P13086","SYSTEM","SYSTEM","1"
"D","S","13087","C13087","P13087","SYSTEM","SYSTEM","1"
"D","S","13094","C13094","P13094","SYSTEM","SYSTEM","1"
"D","S","13099","C13099","P13099","SYSTEM","SYSTEM","1"
"D","S","13113","C13113","P13113","SYSTEM","SYSTEM","1"
"D","S","13115","C13115","P13115","SYSTEM","SYSTEM","1"
"D","S","14007","C14007","P14007","SYSTEM","SYSTEM","1"
"D","S","10008","C10008","P10008","SYSTEM","SYSTEM","1"
"D","S","10010","C10010","P10010","SYSTEM","SYSTEM","1"
"C","E","21042","R21042","A21042","SYSTEM","SYSTEM","1"
"C","E","31009","R31009","A31009","SYSTEM","SYSTEM","1"
"C","E","31011","R31011","A31011","SYSTEM","SYSTEM","1"
"C","E","33009","R33009","A33009","SYSTEM","SYSTEM","1"
"C","E","35001","R35001","A35001","SYSTEM","SYSTEM","1"
"C","E","35003","R35003","A35003","SYSTEM","SYSTEM","1"
