TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,CD_VOCE_EP,CD_VOCE_EP_CONTR,UTCR,UTUV,PG_VER_REC
"C","E","31004","R31004","A31004","SYSTEM","SYSTEM","1"
"C","E","31007","R31007","A31007","SYSTEM","SYSTEM","1"
"C","E","31014","R31014","A31014","SYSTEM","SYSTEM","1"
"C","E","33001","R33001","A33001","SYSTEM","SYSTEM","1"
"C","E","33003","R33003","A33003","SYSTEM","SYSTEM","1"
"C","E","33006","R33006","A33006","SYSTEM","SYSTEM","1"
"C","E","33007","R33007","A33007","SYSTEM","SYSTEM","1"
"C","E","33008","R33008","A33008","SYSTEM","SYSTEM","1"
"C","E","35010","R35010","A35010","SYSTEM","SYSTEM","1"
"C","E","44001","R44001","A44001","SYSTEM","SYSTEM","1"
"C","E","44014","R44014","A44014","SYSTEM","SYSTEM","1"
"C","E","52001","A52001","A52001","SYSTEM","SYSTEM","1"
"D","S","11005","C11005","P11005","SYSTEM","SYSTEM","1"
"D","S","11013","C11013","P11013","SYSTEM","SYSTEM","1"
"D","S","11017","C11017","P11017","SYSTEM","SYSTEM","1"
"D","S","11024","C11024","P11024","SYSTEM","SYSTEM","1"
"D","S","11026","C11026","P11026","SYSTEM","SYSTEM","1"
"D","S","11035","C11035","P11035","SYSTEM","SYSTEM","1"
"D","S","11037","C11037","P11037","SYSTEM","SYSTEM","1"
"D","S","12005","C12005","P12005","SYSTEM","SYSTEM","1"
"D","S","12006","C12006","P12006","SYSTEM","SYSTEM","1"
"D","S","22035","A22035","P22035","SYSTEM","SYSTEM","1"
"D","S","22034","A22034","P22034","SYSTEM","SYSTEM","1"
"D","S","14026","C14026","P14026","SYSTEM","SYSTEM","1"
"D","S","22018","A22018","P22018","SYSTEM","SYSTEM","1"
"D","S","13122","C13122","P13122","SYSTEM","SYSTEM","1"
"D","S","13116","C13116","P13116","SYSTEM","SYSTEM","1"
"D","S","71007","P71007","P71007","SYSTEM","SYSTEM","1"
"C","E","91007","A91007","A91007","SYSTEM","SYSTEM","1"
"C","E","91006","A91006","A91006","SYSTEM","SYSTEM","1"
"D","S","71006","P71006","P71006","SYSTEM","SYSTEM","1"
"D","S","71012","P71012","P71012","SYSTEM","SYSTEM","1"
"C","E","91012","A91012","A91012","SYSTEM","SYSTEM","1"
"D","S","17006","C17006","P17006","SYSTEM","SYSTEM","1"
"D","S","71009","P71009","P71009","SYSTEM","SYSTEM","1"
"C","E","91009","A91009","A91009","SYSTEM","SYSTEM","1"
"D","S","14024","C14024","P14024","SYSTEM","SYSTEM","1"
"C","E","21065","R21065","A21065","SYSTEM","SYSTEM","1"
"D","S","11047","C11047","P11047","SYSTEM","SYSTEM","1"
"D","S","11043","C11043","P11043","SYSTEM","SYSTEM","1"
"D","S","71005","P71005","P71005","SYSTEM","SYSTEM","1"
"C","E","91005","A91005","A91005","SYSTEM","SYSTEM","1"
"D","S","11044","C11044","P11044","SYSTEM","SYSTEM","1"
"D","S","13121","C13121","P13121","SYSTEM","SYSTEM","1"
"D","S","14022","C14022","P14022","SYSTEM","SYSTEM","1"
"D","S","11045","C11045","P11045","SYSTEM","SYSTEM","1"
"C","E","63002","P63002","A63002","SYSTEM","SYSTEM","1"
"D","S","22030","A22030","P22030","SYSTEM","SYSTEM","1"
"D","S","12014","C12014","P12014","SYSTEM","SYSTEM","1"
"D","S","14020","C14020","P14020","SYSTEM","SYSTEM","1"
"D","S","13020","C13020","P13020","SYSTEM","SYSTEM","1"
"D","S","13028","C13028","P13028","SYSTEM","SYSTEM","1"
"D","S","13032","C13032","P13032","SYSTEM","SYSTEM","1"
"D","S","13036","C13036","P13036","SYSTEM","SYSTEM","1"
"D","S","22001","A22001","P22001","SYSTEM","SYSTEM","1"
"D","S","22012","A22012","P22012","SYSTEM","SYSTEM","1"
"D","S","22015","A22015","P22015","SYSTEM","SYSTEM","1"
"D","S","22022","A22022","P22022","SYSTEM","SYSTEM","1"
"D","S","72046","P72046","P72046","SYSTEM","SYSTEM","1"
"C","E","21063","R21063","A21063","SYSTEM","SYSTEM","1"
"C","E","21064","R21064","A21064","SYSTEM","SYSTEM","1"
"D","S","13092","C13092","P13092","SYSTEM","SYSTEM","1"
"D","S","13053","C13053","P13053","SYSTEM","SYSTEM","1"
"D","S","13057","C13057","P13057","SYSTEM","SYSTEM","1"
"D","S","13059","C13059","P13059","SYSTEM","SYSTEM","1"
"D","S","13075","C13075","P13075","SYSTEM","SYSTEM","1"
"D","S","13085","C13085","P13085","SYSTEM","SYSTEM","1"
"D","S","13091","C13091","P13091","SYSTEM","SYSTEM","1"
"D","S","13093","C13093","P13093","SYSTEM","SYSTEM","1"
"D","S","13098","C13098","P13098","SYSTEM","SYSTEM","1"
"D","S","13105","C13105","P13105","SYSTEM","SYSTEM","1"
"D","S","13110","C13110","P13110","SYSTEM","SYSTEM","1"
"D","S","10014","P00004","P00042","SYSTEM","SYSTEM","1"
"D","S","10002","P00004","P00042","SYSTEM","SYSTEM","1"
"D","S","22036","C13060","P13060","SYSTEM","SYSTEM","1"
"D","S","13001","C13001","P13001","SYSTEM","SYSTEM","1"
"D","S","13002","C13002","P13002","SYSTEM","SYSTEM","1"
"D","S","13005","C13005","P13005","SYSTEM","SYSTEM","1"
"D","S","13034","C13034","P13034","SYSTEM","SYSTEM","1"
"D","S","22005","A22005","P22005","SYSTEM","SYSTEM","1"
"D","S","22011","A22011","P22011","SYSTEM","SYSTEM","1"
"D","S","22025","A22025","P22025","SYSTEM","SYSTEM","1"
"C","E","21007","R21007","A21007","SYSTEM","SYSTEM","1"
"C","E","21008","R21008","A21008","SYSTEM","SYSTEM","1"
"C","E","21062","R21062","A21062","SYSTEM","SYSTEM","1"
"C","E","21013","R21013","A21013","SYSTEM","SYSTEM","1"
"D","S","13055","C13055","P13055","SYSTEM","SYSTEM","1"
"D","S","13060","C13060","P13060","SYSTEM","SYSTEM","1"
"D","S","13068","C13068","P13068","SYSTEM","SYSTEM","1"
"D","S","13074","C13074","P13074","SYSTEM","SYSTEM","1"
"D","S","13076","C13076","P13076","SYSTEM","SYSTEM","1"
"D","S","13080","C13080","P13080","SYSTEM","SYSTEM","1"
"D","S","13081","C13081","P13081","SYSTEM","SYSTEM","1"
"D","S","13090","C13090","P13090","SYSTEM","SYSTEM","1"
"D","S","13100","C13100","P13100","SYSTEM","SYSTEM","1"
"D","S","13102","C13102","P13102","SYSTEM","SYSTEM","1"
"D","S","13114","C13114","P13114","SYSTEM","SYSTEM","1"
"D","S","14003","C14003","P14003","SYSTEM","SYSTEM","1"
"D","S","14018","C14018","P14018","SYSTEM","SYSTEM","1"
"D","S","19005","C19005","P19005","SYSTEM","SYSTEM","1"
"D","S","19006","C19006","P19006","SYSTEM","SYSTEM","1"
"C","E","21024","R21024","A21024","SYSTEM","SYSTEM","1"
"C","E","21028","R21028","A21028","SYSTEM","SYSTEM","1"
"C","E","21048","R21048","A21048","SYSTEM","SYSTEM","1"
"C","E","21057","R21057","A21057","SYSTEM","SYSTEM","1"
"C","E","31008","R31008","A31008","SYSTEM","SYSTEM","1"
"C","E","31017","R31017","A31017","SYSTEM","SYSTEM","1"
"C","E","33002","R33002","A33002","SYSTEM","SYSTEM","1"
"C","E","33005","R33005","A33005","SYSTEM","SYSTEM","1"
"C","E","35004","R35004","A35004","SYSTEM","SYSTEM","1"
"C","E","44009","R44009","A44009","SYSTEM","SYSTEM","1"
"C","E","44013","R44013","A44013","SYSTEM","SYSTEM","1"
"C","E","44020","R44020","A44020","SYSTEM","SYSTEM","1"
"C","E","44028","R44028","A44028","SYSTEM","SYSTEM","1"
"C","E","44030","R44030","A44030","SYSTEM","SYSTEM","1"
"C","E","44031","R44031","A44031","SYSTEM","SYSTEM","1"
"D","S","13120","C13120","P13120","SYSTEM","SYSTEM","1"
"D","S","22029","A22029","P22029","SYSTEM","SYSTEM","1"
"C","E","63001","P63001","A63001","SYSTEM","SYSTEM","1"
"D","S","22027","C13077","P13077","SYSTEM","SYSTEM","1"
"D","S","13117","C13117","P13117","SYSTEM","SYSTEM","1"
"D","S","13119","C13119","P13119","SYSTEM","SYSTEM","1"
"D","S","14023","C14023","P14023","SYSTEM","SYSTEM","1"
"D","S","14025","C14025","P14025","SYSTEM","SYSTEM","1"
"C","E","35016","R35016","A35016","SYSTEM","SYSTEM","1"
"C","E","35017","R35017","A35017","SYSTEM","SYSTEM","1"
"C","E","44027","R44027","A44027","SYSTEM","SYSTEM","1"
"C","E","44029","R44029","A44029","SYSTEM","SYSTEM","1"
"C","E","51001","R51001","A51001","SYSTEM","SYSTEM","1"
"C","E","92046","A92046","A92046","SYSTEM","SYSTEM","1"
"C","E","91010","A91010","A91010","SYSTEM","SYSTEM","1"
"D","S","11001","C11001","P11001","SYSTEM","SYSTEM","1"
"D","S","11015","C11015","P11015","SYSTEM","SYSTEM","1"
"D","S","11029","C11029","P11029","SYSTEM","SYSTEM","1"
"D","S","13023","C13023","P13023","SYSTEM","SYSTEM","1"
"D","S","71010","P71010","P71010","SYSTEM","SYSTEM","1"
"C","E","21011","R21011","A21011","SYSTEM","SYSTEM","1"
"C","E","21016","R21016","A21016","SYSTEM","SYSTEM","1"
"D","S","13044","C13044","P13044","SYSTEM","SYSTEM","1"
"D","S","13050","C13050","P13050","SYSTEM","SYSTEM","1"
