CD_TIPO_LINEA_ATTIVITA,DS_TIPO_LINEA_ATTIVITA,TI_TIPO_LA,CD_NATURA,CD_FUNZIONE,TI_GESTIONE,CD_CDR_CREATORE,UTCR,UTUV,PG_VER_REC
"0000020","Linea di attività comune per versamento iva","C","2","01","S","000.000.000","SYSTEM","SYSTEM","1"
"PROP","Tipo linea attivita propria","P","NULL","NULL","*","NULL","SYSTEM","SYSTEM","1"
