TI_APPARTENENZA,TI_GESTIONE,CD_ELEMENTO_VOCE,TI_GESTIONE_SIOPE,CD_SIOPE,UTCR,UTUV,PG_VER_REC
"C","E","33009","E","3030399003","SYSTEM","SYSTEM","1"
"C","E","33010","E","3030399999","SYSTEM","SYSTEM","1"
"C","E","35001","E","3050101001","SYSTEM","SYSTEM","1"
"C","E","35002","E","3050101002","SYSTEM","SYSTEM","1"
"C","E","35003","E","3050101999","SYSTEM","SYSTEM","1"
"C","E","35004","E","3050199999","SYSTEM","SYSTEM","1"
"C","E","35005","E","3050201001","SYSTEM","SYSTEM","1"
"C","E","35006","E","3050202001","SYSTEM","SYSTEM","1"
"C","E","35007","E","3050202002","SYSTEM","SYSTEM","1"
"C","E","35008","E","3050202003","SYSTEM","SYSTEM","1"
"C","E","35009","E","3050203001","SYSTEM","SYSTEM","1"
"C","E","35010","E","3050203002","SYSTEM","SYSTEM","1"
"C","E","35011","E","3050203003","SYSTEM","SYSTEM","1"
"C","E","35012","E","3050203004","SYSTEM","SYSTEM","1"
"C","E","35013","E","3050203004","SYSTEM","SYSTEM","1"
"C","E","35014","E","3050203005","SYSTEM","SYSTEM","1"
"C","E","35015","E","3050203006","SYSTEM","SYSTEM","1"
"C","E","35016","E","3050203008","SYSTEM","SYSTEM","1"
"C","E","35019","E","3059999999","SYSTEM","SYSTEM","1"
"C","E","44001","E","4040101001","SYSTEM","SYSTEM","1"
"C","E","44002","E","4040101001","SYSTEM","SYSTEM","1"
"C","E","44003","E","4040101002","SYSTEM","SYSTEM","1"
"C","E","44004","E","4040101003","SYSTEM","SYSTEM","1"
"C","E","44006","E","4040103001","SYSTEM","SYSTEM","1"
"C","E","44007","E","4040104001","SYSTEM","SYSTEM","1"
"C","E","44008","E","4040104999","SYSTEM","SYSTEM","1"
"C","E","44009","E","4040105001","SYSTEM","SYSTEM","1"
"C","E","44010","E","4040105002","SYSTEM","SYSTEM","1"
"C","E","44011","E","4040105999","SYSTEM","SYSTEM","1"
"C","E","44012","E","4040106001","SYSTEM","SYSTEM","1"
"C","E","44013","E","4040107001","SYSTEM","SYSTEM","1"
"C","E","44014","E","4040107002","SYSTEM","SYSTEM","1"
"C","E","44015","E","4040107003","SYSTEM","SYSTEM","1"
"C","E","44016","E","4040107004","SYSTEM","SYSTEM","1"
