TI_ITALIA_ESTERO,DT_INIZIO_VALIDITA,QUOTA_ESENTE,DT_FINE_VALIDITA,UTCR,UTUV,PG_VER_REC
"I","2002-01-01","46.48","2050-12-31","SYSTEM","SYSTEM","1"
"E","2002-01-01","77.47","2050-12-31","SYSTEM","SYSTEM","1"
