CD_COFOG,DS_COFOG,CD_LIVELLO1,CD_LIVELLO2,CD_LIVELLO3,NR_LIVELLO,FL_ACCENTRATO,FL_DECENTRATO,UTCR,UTUV,PG_VER_REC
"03.1","Servizi di polizia","03","03.1","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"03.2","Servizi antincendio","03","03.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"03.3","Tribunali","03","03.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"03.4","Carceri","03","03.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"03.5","R&S connessi all'ordine pubblico e sicurezza","03","03.5","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"03.6","Ordine pubblico e sicurezza n.a.c.","03","03.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.1","Affari generali economici, commerciali e del lavoro","04","04.1","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.2","Agricoltura, silvicoltura, pesca e caccia","04","04.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.3","Combustibili ed energia","04","04.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.4","Attivit? estrattive, manifatturiere ed edilizie","04","04.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.5","Trasporti","04","04.5","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.6","Comunicazioni","04","04.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.7","Altri settori","04","04.7","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"04.8","R&S per gli affari economici","04","04.8","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"04.9","R&S per gli affari economici n.a.c.","04","04.9","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"05.1","Trattamento dei rifiuti","05","05.1","NULL",2,"Y","N","SYSTEM","SYSTEM","1"
"05.2","Trattamento delle acque reflue","05","05.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"05.3","Riduzione dell?inquinamento","05","05.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"05.4","Protezione delle biodiversit? e dei beni paesaggistici","05","05.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"05.5","R&S per la protezione dell'ambiente","05","05.5","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"05.6","Protezione dell'ambiente n.a.c.","05","05.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"06.1","Sviluppo delle abitazioni","06","06.1","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"06.2","Assetto territoriale","06","06.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"06.3","Approvvigionamento idrico","06","06.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"06.4","Illuminazione stradale","06","06.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"06.5","R&S per abitazioni e assetto territoriale","06","06.5","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"06.6","Abitazioni e assetto territoriale n.a.c.","06","06.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"07.1","Prodotti, attrezzature e apparecchi sanitari","07","07.1","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"07.2","Servizi non ospedalieri","07","07.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"07.3","Servizi ospedalieri","07","07.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"07.4","Servizi di sanit? pubblica","07","07.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"07.5","R&S per la sanit?","07","07.5","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"07.6","Sanit? n.a.c.","07","07.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"08.1","Attivit? ricreative","08","08.1","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"08.2","Attivit? culturali","08","08.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"08.3","Servizi radiotelevisivi e di editoria","08","08.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"08.4","Servizi di culto e altri servizi per le comunit?","08","08.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"08.5","R&S per attivit? ricreative, culturali e di culto","08","08.5","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"08.6","Attivit? ricreative, culturali e di culto n.a.c.","08","08.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"09.1","Istruzione prescolastica e primaria","09","09.1","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"09.2","Istruzione secondaria","09","09.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"09.3","Istruzione post. secondaria non superiore","09","09.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"09.4","Istruzione superiore","09","09.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"09.5","Istruzione di diverso tipo","09","09.5","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"09.6","Servizi ausiliari dell?istruzione","09","09.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"09.7","R&S per l'istruzione","09","09.7","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"09.8","Istruzione n.a.c.","09","09.8","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.1","Malattia e invalidit?","10","10.1","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.2","Vecchiaia","10","10.2","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.3","Superstiti","10","10.3","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.4","Famiglia","10","10.4","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.5","Disoccupazione","10","10.5","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.6","Abitazioni","10","10.6","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.7","Esclusione sociale n.a.c.","10","10.7","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"10.8","R&S per la protezione sociale","10","10.8","NULL",2,"Y","Y","SYSTEM","SYSTEM","1"
"10.9","Protezione sociale n.a.c.","10","10.9","NULL",2,"N","N","SYSTEM","SYSTEM","1"
"01.1.1","Organi esecutivi e legislativi
","01","01.1","01.1.1",3,"N","N","SYSTEM","SYSTEM","1"
