PG_COMUNE,CD_CAP,UTCR,UTUV,PG_VER_REC
6874,"10126","SYSTEM","SYSTEM","1"
6874,"10127","SYSTEM","SYSTEM","1"
6874,"10128","SYSTEM","SYSTEM","1"
6874,"10129","SYSTEM","SYSTEM","1"
6874,"10130","SYSTEM","SYSTEM","1"
6874,"10131","SYSTEM","SYSTEM","1"
6874,"10132","SYSTEM","SYSTEM","1"
6874,"10133","SYSTEM","SYSTEM","1"
6874,"10134","SYSTEM","SYSTEM","1"
6874,"10135","SYSTEM","SYSTEM","1"
6874,"10136","SYSTEM","SYSTEM","1"
6874,"10137","SYSTEM","SYSTEM","1"
6874,"10138","SYSTEM","SYSTEM","1"
6874,"10139","SYSTEM","SYSTEM","1"
6874,"10140","SYSTEM","SYSTEM","1"
6874,"10141","SYSTEM","SYSTEM","1"
6874,"10142","SYSTEM","SYSTEM","1"
6874,"10143","SYSTEM","SYSTEM","1"
6874,"10144","SYSTEM","SYSTEM","1"
6874,"10145","SYSTEM","SYSTEM","1"
6874,"10146","SYSTEM","SYSTEM","1"
6874,"10147","SYSTEM","SYSTEM","1"
6874,"10148","SYSTEM","SYSTEM","1"
6874,"10149","SYSTEM","SYSTEM","1"
6874,"10150","SYSTEM","SYSTEM","1"
6874,"10151","SYSTEM","SYSTEM","1"
6874,"10152","SYSTEM","SYSTEM","1"
6874,"10153","SYSTEM","SYSTEM","1"
6874,"10154","SYSTEM","SYSTEM","1"
6874,"10155","SYSTEM","SYSTEM","1"
6874,"10156","SYSTEM","SYSTEM","1"
6993,"38121","SYSTEM","SYSTEM","1"
6993,"38122","SYSTEM","SYSTEM","1"
6993,"38123","SYSTEM","SYSTEM","1"
7032,"34121","SYSTEM","SYSTEM","1"
7032,"34122","SYSTEM","SYSTEM","1"
7032,"34123","SYSTEM","SYSTEM","1"
7032,"34124","SYSTEM","SYSTEM","1"
7032,"34125","SYSTEM","SYSTEM","1"
7032,"34126","SYSTEM","SYSTEM","1"
7032,"34127","SYSTEM","SYSTEM","1"
7032,"34128","SYSTEM","SYSTEM","1"
7032,"34129","SYSTEM","SYSTEM","1"
7032,"34130","SYSTEM","SYSTEM","1"
7032,"34131","SYSTEM","SYSTEM","1"
7032,"34132","SYSTEM","SYSTEM","1"
7032,"34133","SYSTEM","SYSTEM","1"
7032,"34134","SYSTEM","SYSTEM","1"
7032,"34135","SYSTEM","SYSTEM","1"
7032,"34136","SYSTEM","SYSTEM","1"
7032,"34137","SYSTEM","SYSTEM","1"
7032,"34138","SYSTEM","SYSTEM","1"
7032,"34139","SYSTEM","SYSTEM","1"
7032,"34140","SYSTEM","SYSTEM","1"
7032,"34141","SYSTEM","SYSTEM","1"
7032,"34142","SYSTEM","SYSTEM","1"
7032,"34143","SYSTEM","SYSTEM","1"
7032,"34144","SYSTEM","SYSTEM","1"
7032,"34145","SYSTEM","SYSTEM","1"
7032,"34146","SYSTEM","SYSTEM","1"
7032,"34147","SYSTEM","SYSTEM","1"
7032,"34148","SYSTEM","SYSTEM","1"
7032,"34149","SYSTEM","SYSTEM","1"
7032,"34150","SYSTEM","SYSTEM","1"
7032,"34151","SYSTEM","SYSTEM","1"
7210,"11021","SYSTEM","SYSTEM","1"
7210,"11028","SYSTEM","SYSTEM","1"
7269,"30121","SYSTEM","SYSTEM","1"
7269,"30122","SYSTEM","SYSTEM","1"
7269,"30123","SYSTEM","SYSTEM","1"
7269,"30124","SYSTEM","SYSTEM","1"
7269,"30125","SYSTEM","SYSTEM","1"
7269,"30126","SYSTEM","SYSTEM","1"
7269,"30127","SYSTEM","SYSTEM","1"
7269,"30128","SYSTEM","SYSTEM","1"
7269,"30129","SYSTEM","SYSTEM","1"
7269,"30130","SYSTEM","SYSTEM","1"
7269,"30132","SYSTEM","SYSTEM","1"
7269,"30133","SYSTEM","SYSTEM","1"
7269,"30134","SYSTEM","SYSTEM","1"
7269,"30135","SYSTEM","SYSTEM","1"
7269,"30136","SYSTEM","SYSTEM","1"
7269,"30137","SYSTEM","SYSTEM","1"
7269,"30138","SYSTEM","SYSTEM","1"
7269,"30139","SYSTEM","SYSTEM","1"
7269,"30140","SYSTEM","SYSTEM","1"
7269,"30141","SYSTEM","SYSTEM","1"
7269,"30142","SYSTEM","SYSTEM","1"
7269,"30143","SYSTEM","SYSTEM","1"
7269,"30144","SYSTEM","SYSTEM","1"
7269,"30145","SYSTEM","SYSTEM","1"
7269,"30146","SYSTEM","SYSTEM","1"
7269,"30147","SYSTEM","SYSTEM","1"
7269,"30148","SYSTEM","SYSTEM","1"
7269,"30149","SYSTEM","SYSTEM","1"
7269,"30150","SYSTEM","SYSTEM","1"
7269,"30151","SYSTEM","SYSTEM","1"
7269,"30152","SYSTEM","SYSTEM","1"
7269,"30153","SYSTEM","SYSTEM","1"
7269,"30154","SYSTEM","SYSTEM","1"
7269,"30155","SYSTEM","SYSTEM","1"
7269,"30156","SYSTEM","SYSTEM","1"
7269,"30157","SYSTEM","SYSTEM","1"
7269,"30158","SYSTEM","SYSTEM","1"
7269,"30159","SYSTEM","SYSTEM","1"
7269,"30160","SYSTEM","SYSTEM","1"
7269,"30161","SYSTEM","SYSTEM","1"
7269,"30162","SYSTEM","SYSTEM","1"
7269,"30163","SYSTEM","SYSTEM","1"
7269,"30164","SYSTEM","SYSTEM","1"
7269,"30165","SYSTEM","SYSTEM","1"
7269,"30166","SYSTEM","SYSTEM","1"
7269,"30167","SYSTEM","SYSTEM","1"
7269,"30168","SYSTEM","SYSTEM","1"
7269,"30169","SYSTEM","SYSTEM","1"
7269,"30170","SYSTEM","SYSTEM","1"
7269,"30171","SYSTEM","SYSTEM","1"
7269,"30172","SYSTEM","SYSTEM","1"
7269,"30173","SYSTEM","SYSTEM","1"
7269,"30174","SYSTEM","SYSTEM","1"
7269,"30175","SYSTEM","SYSTEM","1"
7269,"30176","SYSTEM","SYSTEM","1"
7301,"37121","SYSTEM","SYSTEM","1"
7301,"37122","SYSTEM","SYSTEM","1"
7301,"37123","SYSTEM","SYSTEM","1"
7301,"37124","SYSTEM","SYSTEM","1"
7301,"37125","SYSTEM","SYSTEM","1"
7301,"37126","SYSTEM","SYSTEM","1"
7301,"37127","SYSTEM","SYSTEM","1"
7301,"37128","SYSTEM","SYSTEM","1"
7301,"37129","SYSTEM","SYSTEM","1"
7301,"37130","SYSTEM","SYSTEM","1"
7301,"37131","SYSTEM","SYSTEM","1"
7301,"37132","SYSTEM","SYSTEM","1"
7301,"37133","SYSTEM","SYSTEM","1"
7301,"37134","SYSTEM","SYSTEM","1"
7301,"37135","SYSTEM","SYSTEM","1"
7301,"37136","SYSTEM","SYSTEM","1"
7301,"37137","SYSTEM","SYSTEM","1"
7301,"37138","SYSTEM","SYSTEM","1"
7301,"37139","SYSTEM","SYSTEM","1"
7301,"37140","SYSTEM","SYSTEM","1"
7301,"37141","SYSTEM","SYSTEM","1"
7301,"37142","SYSTEM","SYSTEM","1"
7337,"55048","SYSTEM","SYSTEM","1"
7413,"37062","SYSTEM","SYSTEM","1"
7611,"00050","SYSTEM","SYSTEM","1"
7611,"00054","SYSTEM","SYSTEM","1"
7692,"28921","SYSTEM","SYSTEM","1"
7692,"28922","SYSTEM","SYSTEM","1"
7692,"28923","SYSTEM","SYSTEM","1"
7692,"28924","SYSTEM","SYSTEM","1"
7692,"28925","SYSTEM","SYSTEM","1"
8035,"47921","SYSTEM","SYSTEM","1"
8035,"47922","SYSTEM","SYSTEM","1"
8035,"47923","SYSTEM","SYSTEM","1"
8035,"47924","SYSTEM","SYSTEM","1"
100919,"22527","SYSTEM","SYSTEM","1"
103517,"35908","SYSTEM","SYSTEM","1"
