PG_COMUNE,CD_CAP,UTCR,UTUV,PG_VER_REC
2629,"50142","SYSTEM","SYSTEM","1"
2629,"50143","SYSTEM","SYSTEM","1"
2629,"50144","SYSTEM","SYSTEM","1"
2629,"50145","SYSTEM","SYSTEM","1"
2653,"71121","SYSTEM","SYSTEM","1"
2653,"71122","SYSTEM","SYSTEM","1"
2699,"47121","SYSTEM","SYSTEM","1"
2699,"47122","SYSTEM","SYSTEM","1"
2850,"36053","SYSTEM","SYSTEM","1"
2903,"16121","SYSTEM","SYSTEM","1"
2903,"16122","SYSTEM","SYSTEM","1"
2903,"16123","SYSTEM","SYSTEM","1"
2903,"16124","SYSTEM","SYSTEM","1"
2903,"16125","SYSTEM","SYSTEM","1"
2903,"16126","SYSTEM","SYSTEM","1"
2903,"16127","SYSTEM","SYSTEM","1"
2903,"16128","SYSTEM","SYSTEM","1"
2903,"16129","SYSTEM","SYSTEM","1"
2903,"16130","SYSTEM","SYSTEM","1"
2903,"16131","SYSTEM","SYSTEM","1"
2903,"16132","SYSTEM","SYSTEM","1"
2903,"16133","SYSTEM","SYSTEM","1"
2903,"16134","SYSTEM","SYSTEM","1"
2903,"16135","SYSTEM","SYSTEM","1"
2903,"16136","SYSTEM","SYSTEM","1"
2903,"16137","SYSTEM","SYSTEM","1"
2903,"16138","SYSTEM","SYSTEM","1"
2903,"16139","SYSTEM","SYSTEM","1"
2903,"16140","SYSTEM","SYSTEM","1"
2903,"16141","SYSTEM","SYSTEM","1"
2903,"16142","SYSTEM","SYSTEM","1"
2903,"16143","SYSTEM","SYSTEM","1"
2903,"16144","SYSTEM","SYSTEM","1"
2903,"16145","SYSTEM","SYSTEM","1"
2903,"16146","SYSTEM","SYSTEM","1"
2903,"16147","SYSTEM","SYSTEM","1"
2903,"16148","SYSTEM","SYSTEM","1"
2903,"16149","SYSTEM","SYSTEM","1"
2903,"16150","SYSTEM","SYSTEM","1"
2903,"16151","SYSTEM","SYSTEM","1"
2903,"16152","SYSTEM","SYSTEM","1"
2903,"16153","SYSTEM","SYSTEM","1"
2903,"16154","SYSTEM","SYSTEM","1"
2903,"16155","SYSTEM","SYSTEM","1"
2903,"16156","SYSTEM","SYSTEM","1"
2903,"16157","SYSTEM","SYSTEM","1"
2903,"16158","SYSTEM","SYSTEM","1"
2903,"16159","SYSTEM","SYSTEM","1"
2903,"16160","SYSTEM","SYSTEM","1"
2903,"16161","SYSTEM","SYSTEM","1"
2903,"16162","SYSTEM","SYSTEM","1"
2903,"16163","SYSTEM","SYSTEM","1"
2903,"16164","SYSTEM","SYSTEM","1"
2903,"16165","SYSTEM","SYSTEM","1"
2903,"16166","SYSTEM","SYSTEM","1"
2903,"16167","SYSTEM","SYSTEM","1"
3133,"00010","SYSTEM","SYSTEM","1"
3283,"19121","SYSTEM","SYSTEM","1"
3283,"19122","SYSTEM","SYSTEM","1"
3283,"19123","SYSTEM","SYSTEM","1"
3283,"19124","SYSTEM","SYSTEM","1"
3283,"19125","SYSTEM","SYSTEM","1"
3283,"19126","SYSTEM","SYSTEM","1"
3283,"19127","SYSTEM","SYSTEM","1"
3283,"19128","SYSTEM","SYSTEM","1"
3283,"19129","SYSTEM","SYSTEM","1"
3283,"19130","SYSTEM","SYSTEM","1"
3283,"19131","SYSTEM","SYSTEM","1"
3283,"19132","SYSTEM","SYSTEM","1"
3283,"19133","SYSTEM","SYSTEM","1"
3283,"19134","SYSTEM","SYSTEM","1"
3283,"19135","SYSTEM","SYSTEM","1"
3283,"19136","SYSTEM","SYSTEM","1"
3283,"19137","SYSTEM","SYSTEM","1"
3292,"04010","SYSTEM","SYSTEM","1"
3406,"57121","SYSTEM","SYSTEM","1"
