CD_TIPO_OBBLIGAZIONE,DS_TIPO_OBBLIGAZIONE,UTCR,UTUV,PG_VER_REC
"RIC","Ricerca","SYSTEM","SYSTEM","1"
"INV","Investimento","SYSTEM","SYSTEM","1"
