CD_MODALITA_INCASSO,DS_MODALITA_INCASSO,UTCR,UTUV,PG_VER_REC
"A","Accredito","SYSTEM","SYSTEM","1"
"B","Bonifico","SYSTEM","SYSTEM","1"
