"cd_nodo","ds_nodo","cd_accesso","business_process","pg_ordinamento","fl_terminale","livello","url_icona","cd_proprio_nodo","dacr","utcr","duva","utuv","pg_ver_rec","cd_nodo_padre","url_icona_open"
"0.CFG.INCARICHI.TABRIF.TIPOINC","Tipo Incarico","NULL","NULL","20","N","5","NULL","TIPOINC","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF","NULL"
"0.CFG.INCARICHI.TABRIF.TIPOINC.M","gestione","CFGINCARICHITIPOINCM","CRUDConfigTipoIncaricoBP","10","Y","5","NULL","M","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.TIPOINC","NULL"
"0.CFG.INCARICHI.TABRIF.TIPOINC.V","visualizzazione","CFGINCARICHITIPOINCV","CRUDConfigTipoIncaricoBP","20","Y","5","NULL","V","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.TIPOINC","NULL"
"0.CFG.INCARICHI.TABRIF.TIPOLIM","Tipo Limite","NULL","NULL","30","N","5","NULL","TIPOLIM","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF","NULL"
"0.CFG.INCARICHI.TABRIF.TIPOLIM.M","gestione","CFGINCARICHITIPOLIMM","CRUDConfigTipoLimiteBP","10","Y","5","NULL","M","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.TIPOLIM","NULL"
"0.CFG.INCARICHI.TABRIF.TIPOLIM.V","visualizzazione","CFGINCARICHITIPOLIMV","CRUDConfigTipoLimiteBP","20","Y","5","NULL","V","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.TIPOLIM","NULL"
"0.CFG.INCARICHI.TABRIF.ATTINC","Associazione Attivita' Incarico","NULL","NULL","40","N","5","NULL","ATTINC","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF","NULL"
"0.CFG.INCARICHI.TABRIF.ATTINC.M","gestione","CFGINCARICHIATTINCM","CRUDConfigAttivitaIncaricoBP","10","Y","5","NULL","M","2007-09-25T00:00:00.000","S.I.","2007-09-25T00:00:00.000","S.I.","1","0.CFG.INCARICHI.TABRIF.ATTINC","NULL"
"0.CNS.RNDFIN.FINCNR","stampa rend. finanziario Ente","CNSRNDFINCOREFINCNRM","StampaRendFinanziarioCNRBP","1","Y","3","NULL","FINCNR","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.RNDFIN","NULL"
"0.CNS.RNDFIN.CNRCDS","stampa rend. finanziario CNR per CDS","CNSRNDFINCORECNRCDSM","StampaRendFinanziarioCNRperCdsBP","2","Y","3","NULL","CNRCDS","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.RNDFIN","NULL"
"0.CNS.RNDFIN.FINCDS.RNSACS","rendiconto finanziario SAC per artic. - Spese","CNSPDGINGCORERNSACSM","RendicontoFinanziarioSACSpeseBP","1","Y","4","NULL","RNSACS","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.RNDFIN.FINCDS","NULL"
"0.CNS.RNDFIN.FINCDS.RNCDSS","rendiconto finanziario CDS  - Spese","CNSPDGINGCORERNCDSSM","RendicontoFinanziarioCDSSpeseBP","2","Y","4","NULL","RNCDSS","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.RNDFIN.FINCDS","NULL"
"0.CNS.RNDFIN.FINCDS.RNCDSE","rendiconto finanziario CDS  - Entrate","CNSPDGINGCORERNCDSEM","RendicontoFinanziarioCDSEntrateBP","3","Y","4","NULL","RNCDSE","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","2004-04-14T17:05:17.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.RNDFIN.FINCDS","NULL"
"0.PRV.PDGMODAGG.CSTDIP.STAMPE.STRPCS","stampa ripartizione su GAE/Modulo/Commessa","PRVPDGINGCORESTRPCSM","StampaRipartizioneCostiBP","1","Y","5","NULL","STRPCS","2004-06-24T13:51:40.000","$$$$$MIGRAZIONE$$$$$","2004-06-24T13:51:40.000","$$$$$MIGRAZIONE$$$$$","1","0.PRV.PDGMODAGG.CSTDIP.STAMPE","NULL"
"0.DOC.OBBLIG.STAMPE.STOBLA","stampa impegni per GAE","DOCOBBLIGCORESTOBLAM","StampaObbligazioniLABP","7","Y","4","NULL","STOBLA","2004-07-13T16:17:10.000","$$$$$MIGRAZIONE$$$$$","2004-07-13T16:17:10.000","$$$$$MIGRAZIONE$$$$$","1","0.DOC.OBBLIG.STAMPE","NULL"
"0.AMM.INVENT.STAMPE.REGINV","stampa registro inventario","AMMINVENTCOREREGINVM","StampaRegistroInventarioBP","2","Y","4","NULL","REGINV","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.INVENT.STAMPE","NULL"
"0.AMM.DOCGEN.STAMPE.GENPVP","elenco docum. gen. pass. per voce del piano","AMMDOCGENDOCSGENPVPM","StampaDocGenPasPerVocePBP","2","Y","4","NULL","GENPVP","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.DOCGEN.STAMPE","NULL"
"0.AMM.COMPEN.STAMPE.COMPVP","elenco compensi per voce del piano","AMMCOMPENCORECOMPVPM","StampaCompensiPerVocePBP","6","Y","4","NULL","COMPVP","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.COMPEN.STAMPE","NULL"
"0.AMM.FATTUR.FATPAS.STAMPE","stampe","NULL","NULL","5","N","4","NULL","STAMPE","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.FATTUR.FATPAS","NULL"
"0.AMM.FATTUR.FATPAS.STAMPE.FATPVP","elenco fatture per voce del piano","AMMFATTURDOCSFATPVPM","StampaFattPassPerVocePBP","1","Y","5","NULL","FATPVP","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","1","0.AMM.FATTUR.FATPAS.STAMPE","NULL"
"0.CNS.BEPRCL","Bilancio economico-patrimoniale riclass.","NULL","NULL","3","N","2","NULL","BEPRCL","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS","NULL"
"0.CNS.BEPRCL.STPRCL","stampa stato patrimon. riclassif.","CNSBEPRCLCORESTPRCLM","StampaStatoPatrimRiclassBP","1","Y","3","NULL","STPRCL","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:07.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.BEPRCL","NULL"
"0.CNS.BEPRCL.CECRCL","stampa conto economico riclassif.","CNSBEPRCLCORECECRCLM","StampaContoEconomRiclassBP","2","Y","3","NULL","CECRCL","2004-09-24T13:34:08.000","$$$$$MIGRAZIONE$$$$$","2004-09-24T13:34:08.000","$$$$$MIGRAZIONE$$$$$","1","0.CNS.BEPRCL","NULL"
"0.DOC.INTCAS.STAMPE","stampe","NULL","NULL","70","N","3","NULL","STAMPE","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","1","0.DOC.INTCAS","NULL"
"0.DOC.INTCAS.STAMPE.SITCAS","situazione di cassa","DOCINTCASCORESITCASM","StampaSituazioneCassaBP","1","Y","4","NULL","SITCAS","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","2004-10-12T13:33:32.000","$$$$$MIGRAZIONE$$$$$","1","0.DOC.INTCAS.STAMPE","NULL"
