"esercizio","cd_centro_responsabilita","stato","dacr","utcr","duva","utuv","pg_ver_rec"
"2018","000.001.000","AC","2018-01-08T15:51:05.000","PVILLANI","2018-01-08T15:51:05.000","PVILLANI","1"
"2017","000.000.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.001.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.002.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.003.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.004.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.005.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.006.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.007.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.008.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.009.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.010.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.011.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.012.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.013.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.014.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.015.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.016.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.017.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.018.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.019.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.020.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
"2017","000.023.000","AC","2018-01-05T16:44:06.000","RPAGANO","2018-01-05T16:44:06.000","RPAGANO","1"
