"cd_trattamento","cd_contributo_ritenuta","dt_inizio_validita","id_riga","segno","calcolo_imponibile","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec"
"T89SC","RIVALSA2","2004-01-01T00:00:00.000","001","+","000","2200-12-31T01:00:00.000","2004-08-02T10:35:43.000","CROSATI","2004-08-02T10:35:43.000","CROSATI","1"
"T89SC","IVA","2004-01-01T00:00:00.000","002","+","+001E","2200-12-31T01:00:00.000","2004-08-02T10:36:21.000","CROSATI","2004-08-02T10:36:21.000","CROSATI","1"
"T121","RIVALSA4CP","2004-01-01T00:00:00.000","001","+","000","2200-12-31T01:00:00.000","2004-08-05T12:28:36.000","CROSATI","2012-03-20T12:28:36.000","CED","2"
"T121","IVA","2004-01-01T00:00:00.000","002","+","+001E","2200-12-31T01:00:00.000","2004-08-05T12:29:04.000","CROSATI","2004-08-05T12:29:04.000","CROSATI","1"
"T121","RAIRPEF","2004-01-01T00:00:00.000","003","-","000","2200-12-31T01:00:00.000","2004-08-05T12:30:40.000","CROSATI","2004-08-05T12:30:40.000","CROSATI","1"
"T256CSP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T155CSP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T156CSP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T157CSP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"R021CSP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"R021CSP","RAIRPEF","2017-07-01T00:00:00.000","002","-","+001E","2050-12-31T00:00:00.000","2017-07-06T00:00:00.000","CED_RP","2017-07-06T00:00:00.000","CED_RP","1"
"T255CSP","RIVALSA2","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-08-03T00:00:00.000","CED_RP","2017-08-03T00:00:00.000","CED_RP","1"
"T156SP","RIVALSA4CP","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T156SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T157SP","RIVALSA4","2017-07-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T157SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T170SP","RAIRPEF","2017-07-01T00:00:00.000","003","-","000","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T170SP","RIVALSAINP","2017-07-01T00:00:00.000","001","+","000","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T170SP","IVA","2017-07-01T00:00:00.000","002","+","+001E","2200-12-31T01:00:00.000","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"T048CSC","IVA","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2005-10-11T00:00:00.000","CED","2005-10-11T00:00:00.000","CED","1"
"T048CSC","RAIRPEF","2002-01-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2005-10-11T00:00:00.000","CED","2005-10-11T00:00:00.000","CED","1"
"T140","RAIRPEF","2005-01-01T00:00:00.000","001","-","000","2200-12-31T01:00:00.000","2005-10-14T10:23:32.000","CROSATI","2005-10-14T10:23:42.000","CROSATI","2"
"T021SC","RIVALSA4","2003-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021SC","IVA","2003-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021SC","RAIRPEF","2003-01-01T00:00:00.000","003","-","+001E","2050-12-31T00:00:00.000","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021CSC","RIVALSA4","2003-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021CSC","IVA","2003-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"T021CSC","RAIRPEF","2003-01-01T00:00:00.000","003","-","+001E","2050-12-31T00:00:00.000","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","2003-07-11T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019SC","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019SC","RAIRPEF","2002-01-01T00:00:00.000","003","-","000","2050-12-31T00:00:00.000","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019CSC","RIVALSA2","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019CSC","IVA","2002-01-01T00:00:00.000","002","+","+001E","2050-12-31T00:00:00.000","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019SC","RIVALSA2","2002-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","1"
"T019CSC","RAIRPEF","2002-01-01T00:00:00.000","003","-","000","2050-12-31T00:00:00.000","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","2003-07-22T00:00:00.000","$$$$$CINECA$$$$$","1"
"T048SC","IVA","2007-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2007-09-07T00:00:00.000","CED","2007-09-07T00:00:00.000","CED","1"
"T048SC","RAIRPEF","2007-01-01T00:00:00.000","002","-","000","2050-12-31T00:00:00.000","2007-09-07T00:00:00.000","CED","2007-09-07T00:00:00.000","CED","1"
"T152","RIVALSA4","2007-01-01T00:00:00.000","001","+","-050%","2200-12-31T01:00:00.000","2007-11-29T11:20:46.000","CROSATI","2007-11-29T11:20:46.000","CROSATI","1"
"T152","RIVALSA2","2007-01-01T00:00:00.000","002","+","-050%","2200-12-31T01:00:00.000","2007-11-29T11:21:09.000","CROSATI","2007-11-29T11:21:09.000","CROSATI","1"
"T152","IVA","2007-01-01T00:00:00.000","003","+","+001E+002E","2200-12-31T01:00:00.000","2007-11-29T11:21:37.000","CROSATI","2007-11-29T11:21:37.000","CROSATI","1"
"T152","RAIRPEF","2007-01-01T00:00:00.000","004","-","000","2200-12-31T01:00:00.000","2007-11-29T11:21:55.000","CROSATI","2007-11-29T11:21:55.000","CROSATI","1"
"T152C","RIVALSA4","2007-01-01T00:00:00.000","001","+","-050%","2200-12-31T01:00:00.000","2007-11-29T11:20:46.000","CROSATI","2007-11-29T11:20:46.000","CROSATI","1"
"T152C","RIVALSA2","2007-01-01T00:00:00.000","002","+","-050%","2200-12-31T01:00:00.000","2007-11-29T11:21:09.000","CROSATI","2007-11-29T11:21:09.000","CROSATI","1"
"T152C","IVA","2007-01-01T00:00:00.000","003","+","+001E+002E","2200-12-31T01:00:00.000","2007-11-29T11:21:37.000","CROSATI","2007-11-29T11:21:37.000","CROSATI","1"
"T152C","RAIRPEF","2007-01-01T00:00:00.000","004","-","000","2200-12-31T01:00:00.000","2007-11-29T11:21:55.000","CROSATI","2007-11-29T11:21:55.000","CROSATI","1"
"R048","IVA","2008-01-01T00:00:00.000","001","+","000","2050-12-31T00:00:00.000","2008-02-25T16:42:15.000","CED","2008-02-25T16:42:15.000","CED","1"
