"cd_divisa","dt_inizio_validita","dt_fine_validita","cambio","utcr","dacr","utuv","duva","pg_ver_rec"
"USD","2003-07-23T00:00:00.000","2200-12-31T01:00:00.000","0.8800","MIANO","2003-07-23T13:19:06.000","MIANO","2003-07-23T13:19:06.000","1"
"CZK","2003-09-23T00:00:00.000","2003-09-25T00:00:00.000","0.0300","LCAVAZZA","2003-10-01T15:18:18.000","LCAVAZZA","2003-10-01T15:18:18.000","1"
"TWD","2010-01-01T00:00:00.000","2200-12-31T00:00:00.000","0.0210","MILIAA","2011-06-24T09:05:33.000","MILIAA","2011-06-24T09:05:33.000","1"
"USD","2003-10-10T00:00:00.000","2200-12-31T01:00:00.000","1.1730","004","2003-10-10T09:06:37.000","004","2003-10-10T09:06:37.000","1"
"USD","2003-08-07T00:00:00.000","2200-12-31T01:00:00.000","0.9090","LCAVAZZA","2003-09-12T14:47:04.000","LCAVAZZA","2003-09-12T14:47:04.000","1"
"USD","2003-09-17T00:00:00.000","2200-12-31T01:00:00.000","0.9243","MOTTOM","2003-09-17T12:00:12.000","MOTTOM","2003-09-17T12:00:12.000","1"
"USD","2003-12-12T00:00:00.000","2200-12-31T01:00:00.000","0.8190","DELLABATE","2003-12-12T14:23:25.000","DELLABATE","2003-12-12T14:23:25.000","1"
"USD","2003-12-01T00:00:00.000","2200-12-31T01:00:00.000","0.7900","004","2003-12-17T10:17:00.000","004","2003-12-17T10:17:00.000","1"
"USD","2004-03-23T00:00:00.000","2200-12-31T01:00:00.000","0.8180","004","2004-05-10T10:55:11.000","004","2004-05-10T10:55:11.000","1"
"USD","0204-05-01T00:00:00.000","2004-05-01T00:00:00.000","0.8189","004","2004-05-10T11:15:15.000","004","2004-05-10T11:15:15.000","1"
"USD","2004-05-02T00:00:00.000","2200-12-31T01:00:00.000","0.8190","004","2004-05-10T11:07:36.000","004","2004-05-10T11:07:36.000","1"
"CAD","2004-07-13T00:00:00.000","2004-07-13T00:00:00.000","0.6110","004","2004-07-13T12:07:43.000","004","2004-07-13T12:07:43.000","1"
"CAD","2004-05-31T00:00:00.000","2004-12-31T00:00:00.000","1.6610","GBOTTARI","2004-07-22T15:34:15.000","GBOTTARI","2004-07-22T15:34:15.000","1"
"CAD","2004-10-30T00:00:00.000","2004-10-30T00:00:00.000","0.6120","004","2004-12-17T08:47:09.000","004","2004-12-17T08:47:09.000","1"
