"cd_tipo_contratto","ds_tipo_contratto","natura_contabile","fl_cancellato","dacr","utcr","duva","utuv","pg_ver_rec","fl_cig","fl_pubblica_contratto"
"QUAD","Accordi quadro","N","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"99","Recupero da Obbligazioni","P","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"98","Recupero da Accertamenti","A","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"SER_A","Appalto di servizi","A","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"SER_P","Appalto di servizi (anche in caso di subappalto)","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","Y","N"
"FOR_A","Appalto di fornitura","A","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"FOR_P","Appalto di fornitura (anche in caso di subappalto)","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","Y","N"
"ENG_A","Contratti di engineering","A","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"ENG_P","Contratti di engineering","P","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"K_H_A","Contratti di know-how","A","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"LOC_A","Contratti di locazione di immobili","A","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"LOC_P","Contratti di locazione di immobili","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"RIC_A","Contratti di ricerca","A","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"RIC_P","Contratti di ricerca","P","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"COM_A","Contratto di vendita immobili","A","N","2005-11-24T15:36:46.000","TATARELLI","2005-11-24T15:37:59.000","TATARELLI","2","N","N"
"COST","Cost Action Reimbursement (COST)","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"INCEN","Corrispettivi e incentivi per la progettazione di lavori ai sensi dell'art. 92 del D. Lgs. 163/2006","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"POLI","Polizza Sanitaria - Dipendenti CNR","N","N","2014-11-28T14:06:39.000","TATARELLIR","2014-11-28T14:07:42.000","TATARELLIR","2","N","N"
"POR","Programma Operativo Regionale","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"FIRB","FIRB","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"PRIN","PRIN
","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"FISR","FISR","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"FAR","FAR","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"QUE","Programma Quadro UE
","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"2020","Horizon 2020","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"INT_P","Intesa di programma","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"2015","Industria 2015","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"BAN","Progetti Bandiera","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"PINT","Progetti di Interesse","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"PREM","Progetti Premiale","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"MEZZO","Progetti Mezzogiorno
","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"PNRA","Programma Nazionale Ricerca Antartide","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"FESR","Fondo Europeo di Sviluppo Regionale","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"FSE","Fondo Sociale Europeo
","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"LIFE","LIFE programme","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
