"cd_tipo_rapporto","cd_trattamento","dacr","utcr","duva","utuv","pg_ver_rec"
"PROF","T019SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T257SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T256SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","R048SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T256CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T155CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T019CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T190SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T121CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T191SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","R121SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T019SCSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T085C","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T255SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T157SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T170SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T090C","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","T021CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","T091C","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"PROF","R021SP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
"PROF","R121CSP","2017-07-18T00:00:00.000","CED_RP","2017-07-18T00:00:00.000","CED_RP","1"
