"pg_rif_inquadramento","cd_profilo","cd_progressione","cd_livello","ds_inquadramento","ti_dipendente_altro","cd_gruppo_inquadramento","dacr","utcr","duva","utuv","pg_ver_rec"
"4","02","2","NULL","II   livello - I Tecnologo","D","3","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"5","03","1","NULL","III  livello - Ricercatore","D","3","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"6","03","2","NULL","III  livello - Tecnologo","D","3","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"7","04","1","NULL","IV   livello - Ispettore Generale r.e.","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"8","04","2","NULL","IV   livello - Direttore di Divisione r.e.","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"9","04","3","NULL","IV   livello - Funzionario di Amministrazione","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"10","04","4","NULL","IV   livello - Collaboratore Tecnico E.R.","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"11","05","3","NULL","V    livello - Funzionario di Amministrazione","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"12","05","4","NULL","V    livello - Collaboratore Tecnico E.R.","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"13","05","5","NULL","V    livello - Collaboratore di Amministrazione","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"14","06","4","NULL","VI   livello - Collaboratore Tecnico E.R.","D","4","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:01.000","$$$$$MIGRAZIONE$$$$$","1"
"15","06","5","NULL","VI   livello - Collaboratore di Amministrazione","D","4","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"16","06","6","NULL","VI   livello - Operatore Tecnico","D","4","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"17","07","5","NULL","VII  livello - Collaboratore di Amministrazione","D","5","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"18","07","6","NULL","VII  livello - Operatore Tecnico","D","5","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"19","07","7","NULL","VII  livello - Operatore di Amministrazione","D","5","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"20","08","6","NULL","VIII livello - Operatore Tecnico","D","5","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"21","08","7","NULL","VIII livello - Operatore di Amministrazione","D","5","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"22","08","8","NULL","VIII livello - Ausiliario Tecnico","D","5","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"23","09","7","NULL","IX   livello - Operatore di Amministrazione","D","6","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"24","09","8","NULL","IX   livello - Ausiliario Tecnico","D","6","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"25","09","9","NULL","IX   livello - Ausiliario di Amministrazione","D","6","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"26","10","8","NULL","X    livello - Ausiliario Tecnico","D","6","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","2002-11-18T11:34:02.000","$$$$$MIGRAZIONE$$$$$","1"
"29","00","03","NULL","Portavoce del presidente","D","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"30","00","04","NULL","Capo ufficio stampa","D","3","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","1"
"31","00","05","NULL","Direttore ufficio II - Programmazione e sviluppo edilizio","D","1","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2005-07-20T11:34:02.000","$$$$$CINECA$$$$$","1"
"32","00","06","NULL","Direttore Istituto","D","1","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2005-07-20T11:34:02.000","$$$$$CINECA$$$$$","1"
"33","D","1","NULL","Dirigente Generale Incaricato DCSPI","D","1","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2010-06-03T11:44:39.000","FARINELLIR","3"
"34","D","2","NULL","Dirigente di I fascia","D","1","2003-01-13T11:34:02.000","$$$$$CINECA$$$$$","2007-02-02T14:09:17.000","NUCCILLIC","2"
