"esercizio","dacr","duva","utuv","utcr","pg_ver_rec"
"2018","2018-01-08T14:10:56.000","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2017","2016-10-13T21:05:24.000","2016-10-13T21:05:24.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
