"cd_ti_pasto","ti_area_geografica","pg_nazione","pg_rif_inquadramento","dt_inizio_validita","cd_divisa","limite_max_pasto","dt_fine_validita","dt_cancellazione","duva","utcr","dacr","utuv","pg_ver_rec","cd_area_estera"
"PASTO_SINGOLO","E","0","49","2010-05-31T00:00:00.000","EURO","22.26","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO_SEGUITO","E","0","8","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","9","2010-05-31T00:00:00.000","EURO","44.26","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","10","2010-05-31T00:00:00.000","EURO","44.26","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","11","2010-05-31T00:00:00.000","EURO","44.26","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","11","2010-05-31T00:00:00.000","EURO","22.26","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","12","2010-05-31T00:00:00.000","EURO","22.26","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_AL_SEGUITO","E","0","13","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_AL_SEGUITO","E","0","14","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","27","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","30","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","32","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","34","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","36","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","38","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","39","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","41","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","43","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","55","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","55","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","56","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","56","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","57","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
