"cd_tipo_ammortamento","ti_ammortamento","cd_categoria_gruppo","esercizio_competenza","dt_cancellazione","utcr","dacr","utuv","duva","pg_ver_rec"
"10","O","3.4325","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4401","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.1444","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4442","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.5201","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.5241","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.2642","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4921","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.7921","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"09","O","1.998","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","TERILLIR","2005-01-28T11:03:14.000","1"
"10","O","3.3681","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1362","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3081","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3723","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1683","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3123","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.427","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.8681","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.723","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.161","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.881","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.681","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1761","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1764","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1681","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1842","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1861","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1880","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.3801","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.5164","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1321","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.425","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.7","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"14","O","6.2","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.5201","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.4801","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.4402","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.6300","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.6602","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.2602","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.602","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.604","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.501","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.3400","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.8001","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.6401","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"10","O","3.2641","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"10","O","3.8401","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.4324","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3561","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3321","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1802","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.4123","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1285","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.1521","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.6441","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.962","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.5801","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.5806","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.3726","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.7202","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.6481","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.421","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"10","O","3.4641","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4681","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4241","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.3841","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4440","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4521","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4482","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.422","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.5803","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.8182","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.6683","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.4523","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"10","O","3.1482","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:54.000","1"
"14","O","6.1.1","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2002-01-08T11:22:41.000","1"
"09","O","1.9991","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","MIGRA","2003-03-27T00:00:00.000","1"
"18","O","18.1","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","MATRASCIA","2004-06-01T12:20:55.000","1"
"10","O","3.3761","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3001","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.3160","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.8201","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1684","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.641","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.8641","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1601","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.401","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.311","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.321","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1962","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.8601","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.1760","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:52.000","1"
"10","O","3.2001","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:53.000","1"
"09","O","1.2","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"10","O","3.2","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"10","O","3.4","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"10","O","3.5","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.4403","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.4207","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.7000","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"09","O","1.6203","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:50.000","1"
"10","O","3.1621","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","GULLOP","2014-10-23T13:37:04.000","1"
"09","O","1.405","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","FIORETTOT","2012-12-18T10:00:37.000","1"
"09","O","1.201","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.3201","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.2600","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.8801","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.7403","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.7402","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"09","O","1.4204","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"13","O","2.11","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
"10","O","3.2361","2017","NULL","MIGRAZIONE","2017-05-19T14:53:27.000","SYSTEM","2001-10-08T16:13:51.000","1"
