"cluster_url","appserver_url","weight","isactive","component_counter","user_transaction_counter","bulk_loader_iterator_counter","session_counter","free_memory","total_memory","dacr","utcr","duva","utuv","pg_ver_rec"
"http://193.204.123.86/index.html","//193.204.123.84/PRODUZIONEXNA/Login.do","100","N","0","0","0","200","0","0","2004-11-17T16:58:41.000","$$$MIGRAZIONE$$$","2004-12-02T12:03:34.000","$$$MIGRAZIONE$$$","1"
"http://193.204.123.86/index.html","//193.204.123.85/PRODUZIONEXNA/Login.do","100","N","0","0","0","162","0","0","2004-11-17T16:58:41.000","$$$MIGRAZIONE$$$","2004-12-02T12:03:43.000","$$$MIGRAZIONE$$$","1"
