"cd_divisa","ds_divisa","precisione","fl_calcola_con_diviso","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"NLG","Fiorino olandese","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"NZD","Dollaro Neo Zelandese","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"PLN","Zloty Polacco","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"PTE","Escudo Portoghese","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"ROL","Leu Romeno","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"SGD","Dollaro di Singapore","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"SIT","Tallero Sloveno","2.0000","N","2006-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"SVK","Corona Slovacca","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"TRL","Lire Turche","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"ZAR","Rand Sud Africano","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"BRR","Real Brasiliano","2.0000","N","NULL","2003-05-29T14:34:48.000","MADDALONI","2003-05-29T14:34:48.000","MADDALONI","1"
"ILS","Israele Nuovi SHEKEL","2.0000","N","NULL","2009-10-09T14:35:43.000","RPUCCIARELLI","2009-10-09T14:35:43.000","RPUCCIARELLI","1"
"TWD","Nuovo Dollaro di Taiwan","2.0000","N","NULL","2011-06-24T08:51:14.000","MILIAA","2011-06-24T08:51:14.000","MILIAA","1"
"AED","Dirham degli Emirati Arabi Uniti 
","2.0000","N","NULL","2010-10-19T00:00:00.000","CED_RP","2010-10-19T00:00:00.000","CED_RP","1"
"QAR","RIAL","2.0000","N","NULL","2012-12-03T11:39:20.000","MILIAA","2012-12-03T11:39:20.000","MILIAA","1"
"TND","Tunisian Dinar","2.0000","N","NULL","2014-07-01T08:39:27.000","RPUCCIARELLI","2014-07-01T08:39:27.000","RPUCCIARELLI","1"
"THB","Baht thailandese","2.0000","N","NULL","2014-10-09T16:05:51.000","RPUCCIARELLI","2014-10-09T16:05:57.000","RPUCCIARELLI","1"
"MXN","Peso Messicano","2.0000","N","NULL","2015-06-22T00:00:00.000","CED_RP","2015-06-22T00:00:00.000","CED_RP","1"
"CLP","Peso Cileno","2.0000","N","NULL","2015-06-22T00:00:00.000","CED_RP","2015-06-22T00:00:00.000","CED_RP","1"
"CRC","Colon di Costa Rica","2.0000","N","NULL","2016-03-02T00:00:00.000","CED_RP","2016-03-02T00:00:00.000","CED_RP","1"
"RUB","Rublo Russo","2.0000","N","NULL","2012-07-20T00:00:00.000","S.I.","2012-07-20T00:00:00.000","S.I.","1"
"MAD","Dirham Marocchino","2.0000","N","NULL","2014-10-22T12:54:34.000","RPUCCIARELLI","2014-10-22T12:54:40.000","RPUCCIARELLI","1"
"NPR","Rupia Nepalese","2.0000","N","NULL","2014-11-20T08:57:40.000","RPUCCIARELLI","2014-11-20T08:57:44.000","RPUCCIARELLI","1"
"RSD","Dinaro Serbo","2.0000","N","NULL","2015-03-19T00:00:00.000","CED_RP","2015-03-19T00:00:00.000","CED_RP","1"
