"esercizio","pg_repertorio","progressivo_riga","pg_storico_","ds_storico_","nome_file","ds_file","tipo_archivio","utcr","dacr","utuv","duva","pg_ver_rec","stato"
"2017","1","1","3","STOREPARCH","fileUtilizzabile.pdf","NULL","C","RPAGANO","2017-12-15T12:02:26.000","RPAGANO","2017-12-15T12:02:30.000","2","V"
"2017","1","2","3","STOREPARCH","fileUtilizzabile.pdf","NULL","M","RPAGANO","2017-12-15T12:02:47.000","RPAGANO","2017-12-15T12:02:50.000","2","V"
