"cd_tipo_articolo","ds_tipo_articolo","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"STD","ORDINAZIONE STANDARD","NULL","2017-04-20T16:50:35.000","MIGRAZIONE","2001-08-28T17:23:38.000","SYSTEM","1"
"001","Tipo ordinazione fittizio","NULL","2017-04-20T16:50:35.000","MIGRAZIONE","2001-10-10T13:54:47.000","SYSTEM","1"
