"pg_call","par_num","proc_name","messagetouser","str01","str02","str03","str04","str05","str06","str07","str08","str09","str10","dt01","dt02","dt03","dt04","dt05","dt06","dt07","dt08","dt09","dt10","int01","int02","int03","int04","long01","long02","long03","long04","dec01","dec02","dec03","dec04","dec05","dec06","dec07","dec08","dec09","dec10","dacr","utcr","duva","utuv","pg_ver_rec"
"36830","2","CNRCTB047.riportoNextEsDocCOnt","NULL","999","E","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","1","2006","NULL","13737","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","3","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","1","2006","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","4","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","5","2006","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","5","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","2","2006","NULL","126","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","6","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","2","2006","NULL","127","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","7","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","9","2006","NULL","67","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","8","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","7","2006","NULL","68","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","9","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","4","2006","NULL","101","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","10","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","5","2006","NULL","102","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","11","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","7","2006","NULL","75","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","12","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","1","2006","NULL","100000099","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"36830","13","CNRCTB047.riportoNextEsDocCOnt","NULL","407","S","NULL","NULL","NULL","407","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005","12","2006","NULL","77","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2006-01-27T11:33:11.000","ERMANNO","2006-01-27T11:33:11.000","ERMANNO","1"
"3145","17","CNRCTB610.liquidazMassivaMinicarriere","NULL","000","000.402","D","S","1.01.201","1.01.04.000.400.201.402","000.402.000","P0000001","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003","2003","NULL","NULL","425","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2003-06-05T09:11:26.000","SPINUCCIA","2003-06-05T09:11:26.000","SPINUCCIA","1"
