"esercizio","livelli_eco","lung_livello1e","ds_livello1e","lung_livello2e","ds_livello2e","lung_livello3e","ds_livello3e","lung_livello4e","ds_livello4e","lung_livello5e","ds_livello5e","lung_livello6e","ds_livello6e","lung_livello7e","ds_livello7e","lung_livello8e","ds_livello8e","livelli_pat","lung_livello1p","ds_livello1p","lung_livello2p","ds_livello2p","lung_livello3p","ds_livello3p","lung_livello4p","ds_livello4p","lung_livello5p","ds_livello5p","lung_livello6p","ds_livello6p","lung_livello7p","ds_livello7p","lung_livello8p","ds_livello8p","duva","utuv","dacr","utcr","pg_ver_rec"
"2018","7","1","1° Livello","1","2° Livello","1","3° Livello","2","4° Livello","2","5° Livello","3","6° Livello","5","7° Livello","NULL","NULL","8","1","1° Livello","1","2° Livello","1","3° Livello","2","4° Livello","2","5° Livello","2","6° Livello","3","7° Livello","5","8° Livello","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","1"
"2017","7","1","1° Livello","1","2° Livello","1","3° Livello","2","4° Livello","2","5° Livello","3","6° Livello","5","7° Livello","NULL","NULL","8","1","1° Livello","1","2° Livello","1","3° Livello","2","4° Livello","2","5° Livello","2","6° Livello","3","7° Livello","5","8° Livello","2017-12-04T14:58:27.000","PVILLANI","2017-12-04T14:58:27.000","PVILLANI","1"
