"esercizio","pg_procedura","progressivo_riga","pg_storico_","ds_storico_","nome_file","ds_file","tipo_archivio","stato","utcr","dacr","utuv","duva","pg_ver_rec"
"2017","1","1","3","STOPRCARCH","fileUtilizzabile.pdf","aa","B","V","RPAGANO","2017-12-15T11:46:33.000","RPAGANO","2017-12-15T11:46:38.000","2"
"2017","1","2","3","STOPRCARCH","fileUtilizzabile.pdf","NULL","D","V","RPAGANO","2017-12-15T12:01:38.000","RPAGANO","2017-12-15T12:01:41.000","2"
