"id_sessione","id_clone","cd_cds","esercizio","cd_utente","dacr","utcr","duva","utuv","pg_ver_rec"
"zT66HIxxsJuxu1njrXfWfKWN3InOAVaI0k-XRmpB","https://mspasiano-XPS-13-9343/SIGLA","000","2018","MSPASIANO","2018-01-24T13:00:08.810","MSPASIANO","2018-01-24T13:00:08.810","MSPASIANO","1"
"Lv_UdnwcBHCX2-E9jUgeH23pyysAOLvo4z0NUtas","https://mspasiano-XPS-13-9343/SIGLA","000","2018","MSPASIANO","2018-01-24T13:09:25.065","MSPASIANO","2018-01-24T13:09:25.065","MSPASIANO","1"
