"cd_trattamento","cd_ti_compenso","dt_inizio_validita","ds_ti_compenso","fl_registra_fattura","fl_diaria","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"T256C","A","2015-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2016-03-01T00:00:00.000","CED","2016-03-01T00:00:00.000","CED","1"
"T257","A","2015-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2016-03-01T00:00:00.000","CED","2016-03-01T00:00:00.000","CED","1"
"T257C","A","2015-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2016-03-01T00:00:00.000","CED","2016-03-01T00:00:00.000","CED","1"
"T259","A","2015-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2016-03-01T00:00:00.000","CED","2016-03-01T00:00:00.000","CED","1"
"T255","A","2015-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2016-03-01T00:00:00.000","CED","2016-03-01T00:00:00.000","CED","1"
"T256","A","2015-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2016-03-01T00:00:00.000","CED","2016-03-01T00:00:00.000","CED","1"
"T155","A","2012-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-07-18T00:00:00.000","CED","2012-07-18T00:00:00.000","CED","1"
"T155C","A","2012-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-07-18T00:00:00.000","CED","2012-07-18T00:00:00.000","CED","1"
"T156","A","2012-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-07-18T00:00:00.000","CED","2012-07-18T00:00:00.000","CED","1"
"T156C","A","2012-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-07-18T00:00:00.000","CED","2012-07-18T00:00:00.000","CED","1"
"T157","A","2012-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-07-18T00:00:00.000","CED","2012-07-18T00:00:00.000","CED","1"
"T157C","A","2012-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-07-18T00:00:00.000","CED","2012-07-18T00:00:00.000","CED","1"
"T89SC","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T121","A","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T123C","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T125","01","2004-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T126C","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T127","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T127C","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T128","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T128C","M","2004-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2005-01-25T00:00:00.000","CED","2005-01-25T00:00:00.000","CED","1"
"T001","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T001C","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T001SC","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T001CSC","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T031","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T031C","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T032","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T032C","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T037","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T037C","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T082","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T082C","02","2004-01-01T00:00:00.000","Collaborazione coordinata e continuativa","N","N","2050-12-31T00:00:00.000","2005-01-31T00:00:00.000","CED","2005-01-31T00:00:00.000","CED","1"
"T153","A","2008-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2009-03-05T00:00:00.000","CED","2009-03-05T00:00:00.000","CED","1"
