"cd_trattamento","cd_ti_compenso","dt_inizio_validita","ds_ti_compenso","fl_registra_fattura","fl_diaria","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"R134C","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"R146","M","2007-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2008-03-17T00:00:00.000","CED","2008-03-17T00:00:00.000","CED","1"
"T200","03","2011-01-01T00:00:00.000","Somme liquidate a seguito di pignoramenti presso terzi","N","N","2050-12-31T00:00:00.000","2012-03-06T00:00:00.000","CED","2012-03-06T00:00:00.000","CED","1"
"T022","A","2011-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-03-13T00:00:00.000","CED","2012-03-13T00:00:00.000","CED","1"
"T022C","A","2011-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-03-13T00:00:00.000","CED","2012-03-13T00:00:00.000","CED","1"
"T170","A","2011-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-03-13T00:00:00.000","CED","2012-03-13T00:00:00.000","CED","1"
"T170C","A","2011-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2012-03-13T00:00:00.000","CED","2012-03-13T00:00:00.000","CED","1"
"T043","01","2003-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T043C","01","2003-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T054C","B","2003-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T055C","B","2003-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T044","01","2003-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T044C","01","2003-01-01T00:00:00.000","Assegno di ricerca","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T049","Z","2003-01-01T00:00:00.000","Titolo diverso dai precedenti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T049C","Z","2003-01-01T00:00:00.000","Titolo diverso dai precedenti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T050","Z","2003-01-01T00:00:00.000","Titolo diverso dai precedenti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T050C","Z","2003-01-01T00:00:00.000","Titolo diverso dai precedenti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T054","B","2003-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T055","B","2003-01-01T00:00:00.000","Utilizzazione economica da parte dell'autore o dell'inventore di brevetti","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T016","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T016C","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T016SC","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T016CSC","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T017","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T017C","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T017SC","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T017CSC","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T018","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T018C","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T018SC","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T018CSC","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T052","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T052C","M","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo non esercitate abitualmente","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T019","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
