"cd_tipo_obbligazione","ds_tipo_obbligazione","dacr","utcr","duva","utuv","pg_ver_rec"
"RIC","Ricerca","2017-11-06T10:17:30.000","ISS","2017-11-06T10:17:30.000","ISS","1"
"INV","Investimento","2017-11-06T10:17:44.000","ISS","2017-11-06T10:17:44.000","ISS","1"
