"esercizio","pg_esecuzione","ds_processo","start_exec","end_exec","stato","utcr","dacr","utuv","duva","pg_ver_rec"
"2018","101585","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP","2018-01-08T14:48:49.000","2018-01-08T14:48:56.000","S","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:49.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","2"
"2018","101583","Ribaltamento configurazione, str.organizzativa, anagrafica capitoli, PdC EP per PDGP","2018-01-08T14:10:56.000","2018-01-08T14:10:56.000","P","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","2"
