"ti_italia_estero","dt_inizio_validita","quota_esente","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"I","2002-01-01T00:00:00.000","46.48","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"E","2002-01-01T00:00:00.000","77.47","2050-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
