"esercizio","livelli_entrata","lung_livello1e","ds_livello1e","lung_livello2e","ds_livello2e","lung_livello3e","ds_livello3e","lung_livello4e","ds_livello4e","lung_livello5e","ds_livello5e","lung_livello6e","ds_livello6e","lung_livello7e","ds_livello7e","livelli_spesa","lung_livello1s","ds_livello1s","lung_livello2s","ds_livello2s","lung_livello3s","ds_livello3s","lung_livello4s","ds_livello4s","lung_livello5s","ds_livello5s","lung_livello6s","ds_livello6s","lung_livello7s","ds_livello7s","duva","utuv","dacr","utcr","pg_ver_rec"
"2017","6","1","Titolo","2","Tipologia","2","Categoria","2","Capitolo","3","Articolo","4","Voce","NULL","NULL","6","1","Titolo","2","Tipologia","2","Categoria","3","Capitolo","3","Articolo","4","Voce","NULL","NULL","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-10-30T00:00:00.000","$$$$$MIGRAZIONE$$$$$","1"
"2018","6","1","Titolo","2","Tipologia","2","Categoria","2","Capitolo","3","Articolo","4","Voce","NULL","NULL","6","1","Titolo","2","Tipologia","2","Categoria","3","Capitolo","3","Articolo","4","Voce","NULL","NULL","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","1"
