"cd_cds","esercizio","stato","dacr","utcr","duva","utuv","pg_ver_rec"
"000","2017","A","2018-01-08T13:05:31.000","RPAGANO","2018-01-08T13:05:31.000","RPAGANO","1"
"000","2018","A","2018-01-08T14:23:23.000","RPAGANO","2018-01-08T14:23:23.000","RPAGANO","1"
