"esercizio","cd_causale_coge","ds_causale","ti_causale_coge","centro_costo","dt_cancellazione","dacr","duva","utuv","utcr","pg_ver_rec"
"2011","DISMISSIONE_BENE_DUREVOLE_TRASF","Dismissione di bene durevole da trasferimento","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","CARICO_BENE_DUREVOLE_TRASF","Carico di bene durevole da trasferimento","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","ANNULLAMENTO_RIGHE_DOC_ESERCIZIO_CHIUSO","Annullamento di righe di documento amministrativo di esercizio chiuso","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","RATEI_QUOTA","Ratei (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","RATEI_QUOTA_P2","Ratei parte 2 (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","AMMORTAMENTO","Ammortamento","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","ANNULLAMENTO_DOC_ESERCIZIO_CHIUSO","Annullamento (congelamento) di documento amministrativo di esercizio chiuso","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","CHIUSURA_CONTO_ECONOMICO","Chiusura del conto economico","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","CHIUSURA_STATO_PATRIMONIALE","Chiusura dello stato patrimoniale","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2012","DETERMINAZIONE_UTILE_PERDITA","Determinazione utile/perdita d'esercizio","A","NULL","NULL","2011-12-29T12:10:30.000","2011-12-29T12:10:30.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
