"cd_natura","duva","utuv","dacr","utcr","pg_ver_rec","ds_natura","tipo","fl_entrata","fl_spesa"
"2","2017-04-10T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-04-10T00:00:00.000","$$$$$MIGRAZIONE$$$$$","1","Fonte esterna","FES","Y","Y"
"1","2017-04-10T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-04-10T00:00:00.000","$$$$$MIGRAZIONE$$$$$","1","Fonte interna","FIN","Y","Y"
