"pg_comune","cd_cap","utcr","duva","utuv","dacr","pg_ver_rec"
"4636","90136","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90138","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90139","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90140","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90141","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90142","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90143","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90144","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90145","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90146","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90147","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90149","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90150","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4636","90151","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06121","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06122","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"820","89034","PG","2005-10-10T14:37:04.000","PG","2005-10-10T14:37:07.000","1"
"4485","58010","pg","2007-10-09T10:57:35.000","pg","2007-10-09T10:57:40.000","1"
"4788","06123","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06124","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06125","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06126","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06127","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06128","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06129","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06130","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06131","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06132","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06133","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06134","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4788","06135","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65121","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65122","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65123","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65124","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65125","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65126","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65127","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65128","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4792","65129","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56121","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56122","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56123","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56124","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56125","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56126","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56127","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"4964","56128","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89121","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89122","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89123","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89124","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89125","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89126","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89127","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89128","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89129","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89130","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89131","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89132","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89133","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89134","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5343","89135","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00118","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00119","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00120","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00121","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00122","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00123","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00124","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00125","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00126","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00127","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00128","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00129","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00130","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00131","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00132","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00133","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00134","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00135","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00136","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00137","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00138","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00139","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00140","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00141","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00142","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00143","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00144","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00146","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"7413","37062","PG","2007-06-08T09:56:41.000","PG","2007-06-08T09:56:46.000","1"
"5562","00145","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00147","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
"5562","00148","CED_PR","2008-11-24T12:22:17.000","CED_PR","2008-11-24T12:22:17.000","1"
